country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,technology_capacity
KR,,,,96.0,0.0,,EL_Demand_[KR],93.8
KR,,,,96.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,31.6,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,31.6,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,31.6,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,31.6,17.2,,RE_WIND_Offshore_Lim_[KR],160.7
KR,,,,31.6,2.0,,PP_CO2_[KR],21.8
KR,,,,31.6,7.0,,BESS_[KR],390.1
KR,,,,31.6,0.3,,EL_to_HTH_[KR],23.2
KR,,,,31.6,1.1,,EL_to_NH3_[KR],18.4
KR,,,,31.6,1.5,,NH3_Storage_[KR],92.3
KR,,,,31.6,0.3,,NH3_to_EL_[KR],4.0
KR,,,,31.6,0.0,,NH3_to_HTH_[KR],1.7
KR,,,,31.6,1.8,,FF_to_HTH_[KR],23.5
KR,,,,31.6,0.0,,EL_Demand_[KR],93.8
KR,,,,31.6,0.0,,HTH_Demand_[KR],23.8
KR,,,,112.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,112.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,112.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,112.0,6.9,,RE_WIND_Offshore_Lim_[KR],64.1
KR,,,,112.0,9.0,,PP_CO2_[KR],65.8
KR,,,,112.0,1.1,,BESS_[KR],62.6
KR,,,,112.0,0.3,,EL_to_HTH_[KR],23.1
KR,,,,112.0,0.0,,EL_to_NH3_[KR],0.0
KR,,,,112.0,0.0,,NH3_Storage_[KR],0.0
KR,,,,112.0,0.0,,NH3_to_EL_[KR],0.0
KR,,,,112.0,0.0,,NH3_to_HTH_[KR],0.0
KR,,,,112.0,2.6,,FF_to_HTH_[KR],23.6
KR,,,,112.0,0.0,,EL_Demand_[KR],93.8
KR,,,,112.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,80.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,80.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,80.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,80.0,10.2,,RE_WIND_Offshore_Lim_[KR],94.8
KR,,,,80.0,6.4,,PP_CO2_[KR],53.4
KR,,,,80.0,3.3,,BESS_[KR],184.2
KR,,,,80.0,0.3,,EL_to_HTH_[KR],23.3
KR,,,,80.0,0.0,,EL_to_NH3_[KR],0.0
KR,,,,80.0,0.0,,NH3_Storage_[KR],0.0
KR,,,,80.0,0.0,,NH3_to_EL_[KR],0.0
KR,,,,80.0,0.0,,NH3_to_HTH_[KR],0.0
KR,,,,80.0,2.2,,FF_to_HTH_[KR],23.6
KR,,,,80.0,0.0,,EL_Demand_[KR],93.8
KR,,,,80.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,16.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,16.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,16.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,16.0,20.3,,RE_WIND_Offshore_Lim_[KR],189.6
KR,,,,16.0,0.6,,PP_CO2_[KR],7.0
KR,,,,16.0,7.0,,BESS_[KR],388.0
KR,,,,16.0,0.3,,EL_to_HTH_[KR],23.2
KR,,,,16.0,2.2,,EL_to_NH3_[KR],37.6
KR,,,,16.0,3.1,,NH3_Storage_[KR],186.3
KR,,,,16.0,0.6,,NH3_to_EL_[KR],7.9
KR,,,,16.0,0.0,,NH3_to_HTH_[KR],3.7
KR,,,,16.0,1.3,,FF_to_HTH_[KR],23.4
KR,,,,16.0,0.0,,EL_Demand_[KR],93.8
KR,,,,16.0,0.0,,HTH_Demand_[KR],23.8
KR,,,,32.0,2.1,,RE_PV_Openfield_Lim_[KR],130.0
KR,,,,32.0,0.8,,RE_PV_Rooftop_Lim_[KR],42.0
KR,,,,32.0,1.3,,RE_WIND_Onshore_Lim_[KR],33.0
KR,,,,32.0,17.2,,RE_WIND_Offshore_Lim_[KR],160.1
KR,,,,32.0,2.0,,PP_CO2_[KR],22.3
KR,,,,32.0,7.0,,BESS_[KR],389.6
KR,,,,32.0,0.3,,EL_to_HTH_[KR],23.3
KR,,,,32.0,1.0,,EL_to_NH3_[KR],18.0
KR,,,,32.0,1.5,,NH3_Storage_[KR],90.4
KR,,,,32.0,0.3,,NH3_to_EL_[KR],3.8
KR,,,,32.0,0.0,,NH3_to_HTH_[KR],1.7
KR,,,,32.0,1.8,,FF_to_HTH_[KR],23.5
KR,,,,32.0,0.0,,EL_Demand_[KR],93.8
KR,,,,32.0,0.0,,HTH_Demand_[KR],23.8
