,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
PHL,high,2700.0454549999995,1465.3599999999997,1135.84,806.32
PHL,low,1205.997273,654.51,507.3299999999999,360.1499999999999
PHL,medium,1656.181818,898.8399999999999,696.71,494.5899999999999
