,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
PHL,high,0.2111251983847406,0.11458118978410442,0.08881496601816574,0.06304874225222366
PHL,low,0.09430078780417507,0.051178232328979806,0.03966975692878951,0.02816128152859728
PHL,medium,0.12950215865401,0.070283177257155,0.05447798543326131,0.038673575541382496
