asset_name,location_name,parameter_name,parameter_value,unit,source(s),note,suggested_new_value,new_source,new_note
BESS,,charging_conversion_factor,,,,,,,
BESS,,charging_sizing_constant,,G$/GW,,,,,
BESS,,charging_usage_constant,,G$/GWh,,,,,
BESS,,discharging_conversion_factor,,,,,,,
BESS,,discharging_sizing_constant,,G$/GW,,,,,
BESS,,discharging_usage_constant,,G$/GWh,,,,,
BESS,,lifespan,,h,,,,,
BESS,,storage_conversion_factor,,,,,,,
BESS,,storage_sizing_constant,,G$/GWh,,,,,
BESS,,storage_usage_constant,,G$/GWh,,,,,
EL_Demand,,profile_filename,,,,,,,
EL_to_HTH,,conversion_factor,,,,,,,
EL_to_HTH,,lifespan,,h,,,,,
EL_to_HTH,,sizing_constant,,G$/GWp,,,,,
EL_to_HTH,,usage_constant_1,,G$/GWh,,,,,
EL_to_NH3,,conversion_factor,,Gg/GWh,,,,,
EL_to_NH3,,lifespan,,h,,,,,
EL_to_NH3,,sizing_constant,,G$/GWp,,,,,
EL_to_NH3,,usage_constant_1,,G$/GWh,,,,,
FF_to_HTH,,CO2_emissions_factor,,MtCO2e/GWh,,,,,
FF_to_HTH,,lifespan,,h,,,,,
FF_to_HTH,,sizing_constant,,G$/GWp,,,,,
FF_to_HTH,,usage_constant_1,,G$/GWh,,,,,
FF_to_HTH,,usage_constant_2,,G$/(GWh^2),,,,,
HTH_Demand,,profile_filename,,,,,,,
HYDRO,,capacity_factor,,,,,,,
HYDRO,,existing_capacity,,GWp,,,,,
HYDRO,,lifespan,,h,,,,,
HYDRO,,sizing_constant,,G$/GWp,,,,,
HYDRO,,usage_constant,,G$/GWh,,,,,
NH3_Storage,,conversion_factor,,,,,,,
NH3_Storage,,lifespan,,h,,,,,
NH3_Storage,,sizing_constant,,G$/(Gg),,,,,
NH3_Storage,,usage_constant_1,,G$/(Gg h),,,,,
NH3_to_EL,,conversion_factor,,GWh/Gg,,,,,
NH3_to_EL,,lifespan,,h,,,,,
NH3_to_EL,,sizing_constant,,G$/(Gg/h),,,,,
NH3_to_EL,,usage_constant_1,,G$/Gg,,,,,
NH3_to_HTH,,conversion_factor,,GWh/Gg,,,,,
NH3_to_HTH,,lifespan,,h,,,,,
NH3_to_HTH,,sizing_constant,,G$/(Gg/h),,,,,
NH3_to_HTH,,usage_constant_1,,G$/Gg,,,,,
PP_CO2,,CO2_emissions_factor,,MtCO2e/GWh,,,,,
PP_CO2,,lifespan,,h,,,,,
PP_CO2,,sizing_constant,,G$/GWp,,,,,
PP_CO2,,usage_constant_1,,G$/GWh,,,,,
PP_CO2,,usage_constant_2,,G$/(GWh^2),,,,,
RE_PV_Openfield_BAU,,lifespan,,h,,,,,
RE_PV_Openfield_BAU,,maximum_size,,GWp,,,,,
RE_PV_Openfield_BAU,,sizing_constant,,G$/GWp,,,,,
RE_PV_Openfield_Lim,,lifespan,,h,,,,,
RE_PV_Openfield_Lim,,maximum_size,,GWp,,,,,
RE_PV_Openfield_Lim,,sizing_constant,,G$/GWp,,,,,
RE_PV_Rooftop_Lim,,lifespan,,h,,,,,
RE_PV_Rooftop_Lim,,maximum_size,,GWp,,,,,
RE_PV_Rooftop_Lim,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_0,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_0,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_0,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_1,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_1,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_1,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_2,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_2,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_2,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_3,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_3,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_3,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_4,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_4,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_4,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_5,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_5,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_5,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_6,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_6,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_6,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_7,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_7,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_7,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_8,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_8,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_8,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Offshore_Lim_9,,lifespan,,h,,,,,
RE_WIND_Offshore_Lim_9,,maximum_size,,GWp,,,,,
RE_WIND_Offshore_Lim_9,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_0,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_0,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_0,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_1,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_1,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_1,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_2,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_2,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_2,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_3,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_3,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_3,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_4,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_4,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_4,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_5,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_5,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_5,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_6,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_6,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_6,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_7,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_7,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_7,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_8,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_8,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_8,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_BAU_9,,lifespan,,h,,,,,
RE_WIND_Onshore_BAU_9,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_BAU_9,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_0,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_0,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_0,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_1,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_1,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_1,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_2,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_2,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_2,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_3,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_3,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_3,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_4,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_4,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_4,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_5,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_5,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_5,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_6,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_6,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_6,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_7,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_7,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_7,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_8,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_8,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_8,,sizing_constant,,G$/GWp,,,,,
RE_WIND_Onshore_Lim_9,,lifespan,,h,,,,,
RE_WIND_Onshore_Lim_9,,maximum_size,,GWp,,,,,
RE_WIND_Onshore_Lim_9,,sizing_constant,,G$/GWp,,,,,
