asset_name,location_name,parameter_name,parameter_value,unit,source(s),note,suggested new value,source,note
BESS,PK,charging_conversion_factor,0.975,,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the charging efficiency of the bess.,,,
BESS,PK,charging_sizing_constant,0.542,G$/GW,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the capital cost of purchasing per unit peak charging power required.,,,
BESS,PK,charging_usage_constant,2.71E-05,G$/GWh,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.","This is the degradation cost of charging, per energy moved into the bess.",,,
BESS,PK,discharging_conversion_factor,0.975,,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the discharging efficiency of the bess.,,,
BESS,PK,discharging_sizing_constant,0.271,G$/GW,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the capital cost of purchasing per unit peak discharging power required.,,,
BESS,PK,discharging_usage_constant,2.71E-05,G$/GWh,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.","This is the degradation cost of discharging, per energy moved into the bess.",,,
BESS,PK,lifespan,87600,h,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
BESS,PK,storage_conversion_factor,1,,"Assumption, negligible hour-to-hour self-discharge",This is the fraction of energy moved from one time to another. It is (1-self discharge) per hour. A value of 1 means no self discharge. A value of 0.999 means 0.1% self-discharge losses per hour.,,,
BESS,PK,storage_sizing_constant,0.271,G$/GWh,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.","This is the capital cost of purchasing per unit maximum ""storage"" size. This is also equivalent to capital cost per unit ""peak energy flow"" from one time to another.",,,
BESS,PK,storage_usage_constant,0,G$/GWh,Assumption,"This is the degradation cost of storing per unit energy ""moved"" from one time to another. E.g. a battery may degrade quicker if it is kept fully charged compared to being less full.",,,
EL_Demand,PK,profile_filename,JPN_2050_GW,,"1. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
2. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the name of the csv file with the profile that will be read by the code.
Hourly profile loadshape from 2015 [1] projected to 2050 via linear multiplier assumption using the projected 2050 value of 1395 TWh in [2]",,,
EL_to_HTH,PK,conversion_factor,1,,100% of Electricity input (GW) converted to heat output (GW),This is the ratio of hth output to electricity input.,,,
EL_to_HTH,PK,lifespan,131400,h,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
EL_to_HTH,PK,sizing_constant,0.227,G$/GWp,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the capital cost per peak amount of electricity converted into high temperature heating per hour. Note that size of heaters are typically given per unit peak heating power output. This is the size per peak input electrical power.,,,
EL_to_HTH,PK,usage_constant_1,3.60E-10,G$/GWh,"OSeMOSYS Starter Data Kits assumptions, used across all countries","This is the operational cost per amount of fuel converted. Note that this is not the price of fuel, this is the cost of additional maintenance costs of operating the heater.",,,
EL_to_NH3,PK,conversion_factor,0.101,Gg/GWh,"N. Salmon, R. Bañares-Alcántara, and R. Nayak-Luke, “Optimization of green
ammonia distribution systems for intercontinental energy transport,” science,
vol. 24, no. 8, p. 102903, 2021",This is the ratio of NH3 output to electricity input.,,,
EL_to_NH3,PK,lifespan,262800,h,"N. Salmon, R. Bañares-Alcántara, and R. Nayak-Luke, “Optimization of green
ammonia distribution systems for intercontinental energy transport,” science,
vol. 24, no. 8, p. 102903, 2021",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
EL_to_NH3,PK,sizing_constant,1.718,G$/GWp,"N. Salmon, R. Bañares-Alcántara, and R. Nayak-Luke, “Optimization of green
ammonia distribution systems for intercontinental energy transport,” science,
vol. 24, no. 8, p. 102903, 2021",This is the capital cost per peak amount of electricity converted into NH3 per hour. Note that size of ammonia producers are typically given per unit peak NH3 output flow. This is the size per peak input electrical power.,,,
