asset_name,location_name,parameter_name,parameter_value,unit,source(s),note,suggested new value,source,note
EL_to_NH3,PK,usage_constant_1,0,G$/GWh,"N. Salmon, R. Bañares-Alcántara, and R. Nayak-Luke, “Optimization of green
ammonia distribution systems for intercontinental energy transport,” science,
vol. 24, no. 8, p. 102903, 2021","This is the operational cost per amount of fuel converted. Note that this is not the price of fuel, this is the cost of additional maintenance costs of operating the heater.",,,
FF_to_HTH,PK,CO2_emissions_factor,0.000202,MtCO2e/GWh,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the co2 emissions per unit of electrical energy produced by the power plant.,,,
FF_to_HTH,PK,lifespan,262800,h,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
FF_to_HTH,PK,sizing_constant,0.26,G$/GWp,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the capital cost of the power plant per peak high temperature produced.,,,
FF_to_HTH,PK,usage_constant_1,3.71E-05,G$/GWh,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the operational cost of running the heater per unit hth generated. This is the linear cost of running the heater including fuel costs and maintenance costs.,,,
FF_to_HTH,PK,usage_constant_2,0,G$/(GWh^2),"OSeMOSYS Starter Data Kits assumptions, used across all countries","This is the quadratic operational costs of a heater. E.g. if the power output is x, then the cost is Ax^2.  Where A is the  usage_constant_2. This includes both fuel costs and maintenance costs.",,,
HTH_Demand,PK,profile_filename,JPN_2050_GW,,"Victhalia Zapata Castillo, Harmen-Sytze de Boer, Raúl Maícas Muñoz, David E.H.J. Gernaat, René Benders, Detlef van Vuuren, Future global electricity demand load curves, Energy, Volume 258, 2022, 124741, ISSN 0360-5442, https://doi.org/10.1016/j.energy.2022.124741.","This is the name of the csv file with the profile that will be read by the code.
HTH hourly demand profiles obtained from typical weekday/weekend values per month and country, projected to 2100 in the dataset sourced. Full-year profile built based on these typical values per month",,,
HYDRO,PK,capacity_factor,0.5,,WEO 2024 Stated Policies Scenario Capacity factor in 2050. https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2024-extended-dataset,"Capacity factor of hydro output per peak nameplate capacity. The model caps flexible hourly generation to existing_capacity * capacity_factor
WEO values from scenarios obtained. Where specific country was not available, proxy default is used",,,
HYDRO,PK,existing_capacity,34.696,GWp,"Global Hydropower Tracker, https://globalenergymonitor.org/projects/global-hydropower-tracker","This is the existing hydropower capacity in the country. The model currently does not evaluate any new investments in hydro, just simulates some flexible output from the existing plants",,,
HYDRO,PK,lifespan,876000,h,Benchmark assumed,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
HYDRO,PK,sizing_constant,0,G$/GWp,Default value in current model as no new capacity is build,This is the capital cost of purchasing per unit peak of nameplate capacity. ,,,
HYDRO,PK,usage_constant,1.37E-05,G$/GWh,"WEO 2024 Stated Policies Scenario O&M cost for 2050 for hydropower, https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2024-extended-dataset",This is the operational cost of running the hydrpower plant per unit energy produced,,,
NH3_Storage,PK,conversion_factor,0.999987,,"W. C. Leighty and J. H. Holbrook, “Alternatives to electricity for transmission,
firming storage, and supply integration for diverse, stranded, renewable energy
resources: Gaseous hydrogen and anhydrous ammonia fuels via underground
pipelines,” Energy Procedia, vol. 29, pp. 332–346, 2012",This is the fraction of ng moved from one time to another. It is (1-self discharge) per hour. A value of 1 means no self discharge. A value of 0.999 means 0.1% self-discharge losses per hour.,,,
NH3_Storage,PK,lifespan,262800,h,"W. C. Leighty and J. H. Holbrook, “Alternatives to electricity for transmission,
firming storage, and supply integration for diverse, stranded, renewable energy
resources: Gaseous hydrogen and anhydrous ammonia fuels via underground
pipelines,” Energy Procedia, vol. 29, pp. 332–346, 2012",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
NH3_Storage,PK,sizing_constant,0.5,G$/(Gg),"W. C. Leighty and J. H. Holbrook, “Alternatives to electricity for transmission,
firming storage, and supply integration for diverse, stranded, renewable energy
resources: Gaseous hydrogen and anhydrous ammonia fuels via underground
pipelines,” Energy Procedia, vol. 29, pp. 332–346, 2012","This is the capital cost of purchasing per unit maximum ""storage"" size. This is also equivalent to capital cost per unit ""peak flow"" from one time to another.",,,
NH3_Storage,PK,usage_constant_1,0,G$/(Gg h),"W. C. Leighty and J. H. Holbrook, “Alternatives to electricity for transmission,
firming storage, and supply integration for diverse, stranded, renewable energy
resources: Gaseous hydrogen and anhydrous ammonia fuels via underground
pipelines,” Energy Procedia, vol. 29, pp. 332–346, 2012","This is the degradation cost of storing per unit fuel ""moved"" from one time to another. E.g. an Ammonia tank may degrade quicker if it is kept full compared to being less full.",,,
NH3_to_EL,PK,conversion_factor,3.11,GWh/Gg,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the ratio of electricity output to fuel input.,,,
NH3_to_EL,PK,lifespan,262800,h,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
NH3_to_EL,PK,sizing_constant,2.385,G$/(Gg/h),"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.",This is the capital cost per peak amount of fuel converted into electricity per hour. Note that size of power plants are typically given per unit peak electrical power output. This is the size per peak input fuel consumption rate.,,,
NH3_to_EL,PK,usage_constant_1,0,G$/Gg,"Z. Cesaro, M. Ives, R. Nayak-Luke, M. Mason, and R. Bañares-Alcántara, ‘Ammonia to power: Forecasting the levelized cost of electricity from green ammonia in large-scale power plants’, Appl. Energy, vol. 282, p. 116009, Jan. 2021, doi: 10.1016/j.apenergy.2020.116009.","This is the operational cost per amount of fuel converted. Note that this is not the price of coal, this is the cost of additional maintenance costs of operating the power plant.",,,
NH3_to_HTH,PK,conversion_factor,5.19,GWh/Gg,https://www.iea-amf.org/content/fuel_information/ammonia/fuel_properties,This is the ratio of hth output to fuel input. For ammonia heaters this is the LHV of ammonia,,,
NH3_to_HTH,PK,lifespan,262800,h,"OSeMOSYS Starter Data Kits assumptions, used across all countries",This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
NH3_to_HTH,PK,sizing_constant,0.26,G$/(Gg/h),"OSeMOSYS Starter Data Kits assumptions, used across all countries","This is the capital cost per peak amount of fuel converted into high temperature heating per hour. Note that size of heaters are typically given per unit peak heating power output. This is the size per peak input fuel consumption rate.
These values are hard to find in the literature, assumed costs as commercial fossil high temperature heaters",,,
NH3_to_HTH,PK,usage_constant_1,5.19E-06,G$/Gg,Assumption,"This is the operational cost per amount of fuel converted. Note that this is not the price of fuel, this is the cost of additional maintenance costs of operating the heater.",,,
PP_CO2,PK,CO2_emissions_factor,0.00045773,MtCO2e/GWh,CaDI (2024) Greenhouse Gas Emissions Factors for International Grid Electricity (calculated from fuel mix). Available at: www.carbondi.com (Accessed: [27/05/2025]).,"This is the co2 emissions per unit of electrical energy produced by the power plant.
This is the generalised grid emissions factor for each country, as reported. Single generic power plant currently modelled for dispatchable fossil generation.",,,
PP_CO2,PK,lifespan,262800,h,Assumed from benchmarks,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
PP_CO2,PK,sizing_constant,1.52195951,G$/GWp,"1. WEO 2024 Stated Policies Scenario Capacity factor in 2050. https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2024-extended-dataset
2. https://datasets.wri.org/datasets/global-power-plant-database","This is the capital cost of the power plant per peak electrical power produced.
Estimated from the existing capacities  of coal and gas power plants in [2] to build a weighted average of the coal and gas capital costs published in [1]",,,
PP_CO2,PK,usage_constant_1,1.02E-05,G$/GWh,"1. WEO 2024 Stated Policies Scenario Capacity factor in 2050. https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2024-extended-dataset
2. https://datasets.wri.org/datasets/global-power-plant-database","This is the operational cost of producing electricity per amount of electricity produced. This cost includes both the fuel cost and maintenance costs. This is assuming a certain average mix of different fuels/types of power plants.
Estimated from the total generation fromf coal and gas power plants in [2] to build a weighted average of the coal and gas capital costs published in [1]",,,
PP_CO2,PK,usage_constant_2,0,G$/(GWh^2),"Assumed default value, no quadratic operational costs","This is the quadratic operational costs of a power plant. E.g. if the power output is x, then the cost is Ax^2.  Where A is the  usage_constant_2. This includes both fuel costs and maintenance costs.",,,
RE_PV_Openfield_BAU,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_PV_Openfield_BAU,PK,maximum_size,45.7475852,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_PV_Openfield_BAU,PK,sizing_constant,0.812073485,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_PV_Openfield_Lim,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_PV_Openfield_Lim,PK,maximum_size,404,GWp,GLAES/RESkit simulation pipeline,This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline,,,
RE_PV_Openfield_Lim,PK,sizing_constant,0.812073485,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_PV_Rooftop_Lim,PK,lifespan,210240,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_PV_Rooftop_Lim,PK,maximum_size,121,GWp,GLAES/RESkit simulation pipeline,This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline,,,
RE_PV_Rooftop_Lim,PK,sizing_constant,0.812073485,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_0,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_0,PK,maximum_size,51.512,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_0,PK,sizing_constant,4.578611087,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_1,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_1,PK,maximum_size,76.848,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_1,PK,sizing_constant,4.842915954,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_2,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_2,PK,maximum_size,54.987,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_2,PK,sizing_constant,5.28808595,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_3,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_3,PK,maximum_size,72.718,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_3,PK,sizing_constant,5.051853199,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_4,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_4,PK,maximum_size,96.007,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_4,PK,sizing_constant,5.278985368,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_5,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_5,PK,maximum_size,64.972,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_5,PK,sizing_constant,5.342375125,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_6,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_6,PK,maximum_size,134.19,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_6,PK,sizing_constant,5.58398434,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_7,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_7,PK,maximum_size,147.38,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_7,PK,sizing_constant,5.799169377,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_8,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_8,PK,maximum_size,84.783,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_8,PK,sizing_constant,6.447405648,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Offshore_Lim_9,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Offshore_Lim_9,PK,maximum_size,260.076,GWp,GLAES/RESkit simulation pipeline,"This is the maximum estimated technical potential of RE in the country after GLAES/RESkit simulation pipeline. For Wind, the pipeline identifies ""bins"" based on LCOE; each is modelled with maximum capacity and CAPEX per bin",,,
RE_WIND_Offshore_Lim_9,PK,sizing_constant,13.03136694,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_0,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_0,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_0,PK,sizing_constant,1.276088852,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_1,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_1,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_1,PK,sizing_constant,1.280659531,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_2,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
RE_WIND_Onshore_BAU_2,PK,maximum_size,0.368258014,GWp,"1. IRENA, ‘Renewable Energy Statistics 2025’, IRENA, Abu Dhabi, 2025
2. Brinkerink M, Gallachóir BÓ, Deane P (2021). Building and Calibrating a Country-Level Detailed Global Electricity Model Based on Public Data. Energy Strategy Reviews 33: 100592. doi: 10.1016/j.esr.2020.100592
3. Slide 13, Model Calculation for Japan's energy mix in 2040 and 2050. Institute of Energy Economics","This is the maximum estimated potential under BAU reference scenario assumptions. This is derived from latest available value of installed capacity to grow linearly with demand growth. BAU scenario only considers Openfield PV and Onshore wind. Latest existing capacity from [1], projected with demand growth identified from base reference in [2] and projected total demand in [3]",,,
RE_WIND_Onshore_BAU_2,PK,sizing_constant,1.280747716,G$/GWp,GLAES/RESkit simulation pipeline,This is the capital cost of an RE system per rated peak power. Most RE systems such as PV/Wind are sold based on rated power.,,,
RE_WIND_Onshore_BAU_3,PK,lifespan,219000,h,GLAES/RESkit simulation pipeline,This is the typical operational lifespan of the asset. The asset will need to be repurchased after this time if it is not fully degraded by other means.,,,
