,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
SGP,high,0.23813738056170827,0.12924115456415713,0.10017829953059466,0.07111544449703225
SGP,low,0.10636599877418865,0.057726175188203895,0.044745260512798105,0.031764345837392315
SGP,medium,0.14607117044718343,0.07927548136188173,0.06144811158786502,0.04362162378929853
