,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
SGP,high,2700.045455,1465.3599999999994,1135.8400000000001,806.3199999999998
SGP,low,1205.997273,654.51,507.33000000000004,360.1499999999999
SGP,medium,1656.1818180000002,898.84,696.71,494.5900000000001
