region,group,capacity
THA,0,42.685
THA,1,42.011
THA,2,41.47
THA,3,40.9044
THA,4,40.8008
THA,5,40.792
THA,6,40.792
THA,7,40.792
THA,8,40.792
THA,9,40.792
