,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
THA,high,0,2292.0821260598414,1520.2208037910837,1335.6713570580257,1151.3877877945772
THA,high,1,2808.7369181442896,1862.8914936248846,1636.7430330756572,1410.9203810377676
THA,high,2,2874.2008691456126,1906.3103829775662,1674.8910223113246,1443.8050638628506
THA,high,3,2920.9893391467745,1937.3427812790007,1702.1561968489552,1467.3084420171588
THA,high,4,2968.949467178379,1969.1522804045924,1730.1041349109364,1491.4003823052728
THA,high,5,3213.4113280490915,2131.291325250954,1872.5600712630749,1614.2015673026126
THA,high,6,3610.8729825858663,2394.907305263876,2104.1740005616957,1813.8595507320183
THA,high,7,3811.9066196716403,2528.2426312026305,2221.3228879451517,1914.8453191042192
THA,high,8,3957.951293421781,2625.106591177577,2306.4279046286138,1988.2083334204688
THA,high,9,4871.414288587704,3230.9598601179796,2838.7327223784046,2447.070660074685
THA,low,0,1249.4890173929325,942.3590950277039,849.9927787417408,755.5297010196722
THA,low,1,1531.1344615714686,1154.7748443474063,1041.5883753284718,925.832517028311
THA,low,2,1566.8210047720831,1181.6894775188646,1065.8649424669188,947.4111327174381
THA,low,3,1592.3269317829315,1200.9259349518911,1083.2159183229676,962.8338256261308
THA,low,4,1618.4715679494243,1220.6441040048628,1101.0013903323324,978.6427274026938
THA,low,5,1751.7357328140054,1321.1513482107348,1191.6573114506882,1059.2236954909079
THA,low,6,1968.4050949300872,1484.5624235894413,1339.0514786747372,1190.237362759174
THA,low,7,2077.99511302096,1567.214730921312,1413.6025333085245,1256.50326221927
THA,low,8,2157.6088466763135,1627.2590570054672,1467.7615517178917,1304.6433735349656
THA,low,9,2655.5674351962643,2002.817223829326,1806.5089904393017,1605.7444622720539
THA,medium,0,1566.9322498957904,1266.8506703326727,1113.0594647206697,959.4898234317055
THA,medium,1,1920.1320966940466,1552.4095786425762,1363.9525281842632,1175.7669845300593
THA,medium,2,1964.8851074480935,1588.5919864510747,1395.7425192309886,1203.1708868909423
THA,medium,3,1996.8710305239572,1614.452318377161,1418.4634980206536,1222.757035359617
THA,medium,4,2029.657932209748,1640.9602343269894,1441.753446416065,1242.8336522722634
THA,medium,5,2196.7789831146374,1776.0761050846843,1560.466726762709,1345.167973130349
THA,medium,6,2468.495025703813,1995.7560885159426,1753.4783345989804,1511.549626036449
THA,medium,7,2605.9273130013453,2106.8688601758995,1851.102407462744,1595.7044330378712
THA,medium,8,2705.767587755089,2187.588826854156,1922.0232547311316,1656.8402783186557
THA,medium,9,3330.236759231522,2692.466551174824,2365.6106030573947,2039.2255506371262
