,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
IDN,high,1959.8299999999997,947.5544981999998,743.1741539,537.2901825
IDN,low,851.3610056999999,457.0198543999998,344.347637,229.1076558
IDN,medium,1264.5000000000002,789.6287484999998,619.3117948999998,447.7418187999999
