,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
KHM,high,1959.83,883.9999999999999,698.0000000000001,510.00000000000006
KHM,low,576.6700000000001,360.0,268.0,175.0
KHM,medium,856.51,622.0,482.0,342.00000000000006
