Location,lat,lon,location_name
0,1.28057,103.86515,SGP
1,-6.16065,106.92865,IDN
2,3.15839,101.68596,MYS
3,4.8928,114.92675,BRN
4,11.53412,104.9155,KHM
5,16.8886,96.1656,MMR
6,14.59466,120.98968,PHL
7,13.78118,100.58329,THA
8,10.76226,106.62206,VNM
9,17.97899,102.63012,LAO
10,-20.73402,116.83925,AUS
11,26.41963,50.10169,SAU
12,13.12489,80.28511,IND
13,25.2048,56.32768,ARE
