,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
MYS,high,1656.003945,898.7281387000002,696.6388917000002,494.53542100000004
MYS,low,812.6214674,441.01807070000007,341.8476421,242.6751403
MYS,medium,1015.776834,551.2725884,427.3095526,303.3439253
