region,group,capacity
KHM,0,14.814
KHM,1,12.544
KHM,2,12.504
KHM,3,12.44
KHM,4,12.52
KHM,5,11.925
KHM,6,10.98
KHM,7,9.388
KHM,8,8.454
KHM,9,8.454
