,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
KHM,high,0,8983.477502698686,4405.371647991037,4130.035919991599,3854.7001919921486
KHM,high,1,11196.431513425021,5490.573325652412,5147.412492799122,4804.251659945852
KHM,high,2,12096.307120074847,5931.859729838677,5561.118496723744,5190.37726360883
KHM,high,3,13565.351102395542,6652.258340223453,6236.492193959485,5820.726047695522
KHM,high,4,14682.07522654036,7199.884222701323,6749.891458782469,6299.898694863647
KHM,high,5,15963.415328807787,7828.2354771311275,7338.970759810443,6849.706042489755
KHM,high,6,17388.41203840416,8527.033921391816,7994.094301304814,7461.154681217832
KHM,high,7,20286.046700770417,9947.993408849723,9326.243820796613,8704.494232743506
KHM,high,8,22571.35368838273,11068.675973831754,10376.883725467256,9685.09147710278
KHM,high,9,23053.678956836044,11305.201535577264,10598.626439603686,9892.051343630115
KHM,low,0,2414.3826337309333,2350.101331238421,2143.0136714610394,1935.9207309522021
KHM,low,1,3009.1320201614976,2929.0159180468195,2670.915110283193,2412.807720953785
KHM,low,2,3250.9809073614574,3164.4257424162274,2885.580948438358,2606.729043923467
KHM,low,3,3645.798424078831,3548.731510139516,3236.0222265675843,2923.30496891473
KHM,low,4,3945.927113797675,3840.869476755501,3502.417401996448,3163.956696715799
KHM,low,5,4290.297686316861,4176.071416004888,3808.0818127021516,3440.0828256714035
KHM,low,6,4673.277140291096,4548.854301388284,4148.015588852287,3747.1666549365746
KHM,low,7,5452.040019767569,5306.88314661263,4839.247986827889,4371.600902355294
KHM,low,8,6066.234857120641,5904.725462382063,5384.409269467854,4864.079808500422
KHM,low,9,6195.863695353235,6030.903020587295,5499.468236786047,4968.01990140772
KHM,medium,0,3735.214876067868,3386.910742308091,3146.043197949008,2903.8810964282984
KHM,medium,1,4655.332807952914,4221.228823353113,3921.026928996145,3619.2115814306667
KHM,medium,2,5029.489558672163,4560.495923202584,4236.1663090915035,3910.0935658851927
KHM,medium,3,5640.299229505495,5114.348353194212,4750.630315561102,4384.957453372101
KHM,medium,4,6104.6188161818745,5535.370716875153,5141.71075559069,4745.93504507369
KHM,medium,5,6637.383617992076,6018.455864649632,5590.440249462858,5160.124238507108
KHM,medium,6,7229.87899702916,6555.701787738525,6089.478756987216,5620.749982404895
KHM,medium,7,8434.678373777073,7648.155123576942,7104.239891184974,6557.401353532927
KHM,medium,8,9384.879746680437,8509.751402244143,7904.56187133606,7296.119712750638
KHM,medium,9,9585.424415188756,8691.59553025809,8073.473757580673,7452.029852111547
