,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
BRN,high,0.1408547096907871,0.06353385924628908,0.050165875287230134,0.036654149565166515
BRN,low,0.041445781234793734,0.025873517340117655,0.019261396242087933,0.012577404262557254
BRN,medium,0.06155812871384504,0.04470368829320538,0.03464176488315865,0.024579841473112575
