country_1,country_2,country_3,country_4,collaboration_emissions,technology_name,technology_cost
KH,TH,VN,,65.54134366736925,Rooftop PV [KH],1.2862913876238678e-09
KH,TH,VN,,65.54134366736925,Openfield PV [KH],0.3120398283474997
KH,TH,VN,,65.54134366736925,Onshore wind [KH],1.0216228814198445
KH,TH,VN,,65.54134366736925,Offshore wind [KH],4.247717701539364e-09
KH,TH,VN,,65.54134366736925,Fossil fuel powerplant [KH],0.0009665376761878
KH,TH,VN,,65.54134366736925,Battery storage [KH],0.033930197454194
KH,TH,VN,,65.54134366736925,Electric High Temp. Heating [KH],0.1258415577596887
KH,TH,VN,,65.54134366736925,Electricity to Ammonia [KH],0.0012772579938937
KH,TH,VN,,65.54134366736925,Ammonia storage [KH],0.0013530841786862
KH,TH,VN,,65.54134366736925,Ammonia to electricity [KH],2.999269901168601e-06
KH,TH,VN,,65.54134366736925,Ammonia High Temp. Heating [KH],0.0004607039056426
KH,TH,VN,,65.54134366736925,Fossil High Temp. Heating [KH],0.618727557338886
KH,TH,VN,,65.54134366736925,Electricity Demand [KH],0.0
KH,TH,VN,,65.54134366736925,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,0.0,Rooftop PV [VN],4.2319207639074735e-09
KH,TH,VN,,0.0,Openfield PV [VN],3.485576069848796
KH,TH,VN,,0.0,Onshore wind [VN],10.032065438692278
KH,TH,VN,,0.0,Offshore wind [VN],0.4518909559167785
KH,TH,VN,,0.0,Fossil fuel powerplant [VN],0.0
KH,TH,VN,,0.0,Battery storage [VN],2.396103704085864
KH,TH,VN,,0.0,Electric High Temp. Heating [VN],0.5130682757892897
KH,TH,VN,,0.0,Electricity to Ammonia [VN],1.1862015221309012
KH,TH,VN,,0.0,Ammonia storage [VN],5.812057594135902
KH,TH,VN,,0.0,Ammonia to electricity [VN],0.2693756712257319
KH,TH,VN,,0.0,Ammonia High Temp. Heating [VN],0.1029100181222337
KH,TH,VN,,0.0,Fossil High Temp. Heating [VN],0.0
KH,TH,VN,,0.0,Electricity Demand [VN],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,0.0,Rooftop PV [TH],4.667220080772593e-09
KH,TH,VN,,0.0,Openfield PV [TH],4.194221121513085
KH,TH,VN,,0.0,Onshore wind [TH],13.091248466416756
KH,TH,VN,,0.0,Offshore wind [TH],4.0322693108302526e-09
KH,TH,VN,,0.0,Fossil fuel powerplant [TH],0.0
KH,TH,VN,,0.0,Battery storage [TH],2.6099501252740325
KH,TH,VN,,0.0,Electric High Temp. Heating [TH],0.3759094084175214
KH,TH,VN,,0.0,Electricity to Ammonia [TH],0.4397525811717095
KH,TH,VN,,0.0,Ammonia storage [TH],3.749726902185648
KH,TH,VN,,0.0,Ammonia to electricity [TH],0.2607963100730794
KH,TH,VN,,0.0,Ammonia High Temp. Heating [TH],0.0693212771736428
KH,TH,VN,,0.0,Fossil High Temp. Heating [TH],0.0
KH,TH,VN,,0.0,Electricity Demand [TH],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,0.0,Rooftop PV [KH],3.763108084505967e-09
KH,TH,VN,,0.0,Openfield PV [KH],0.6164391853158219
KH,TH,VN,,0.0,Onshore wind [KH],1.595207224275465
KH,TH,VN,,0.0,Offshore wind [KH],1.209239486981405e-08
KH,TH,VN,,0.0,Fossil fuel powerplant [KH],0.0
KH,TH,VN,,0.0,Battery storage [KH],0.0189990268756859
KH,TH,VN,,0.0,Electric High Temp. Heating [KH],0.1246661356307992
KH,TH,VN,,0.0,Electricity to Ammonia [KH],0.2764336299850286
KH,TH,VN,,0.0,Ammonia storage [KH],1.151369124982775
KH,TH,VN,,0.0,Ammonia to electricity [KH],2.0315176937747637e-06
KH,TH,VN,,0.0,Ammonia High Temp. Heating [KH],0.0237274515185373
KH,TH,VN,,0.0,Fossil High Temp. Heating [KH],0.0
KH,TH,VN,,0.0,Electricity Demand [KH],0.0
KH,TH,VN,,0.0,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [VN],1.728578323825548e-09
KH,TH,VN,,19.822491452331132,Openfield PV [VN],2.111980487902839
KH,TH,VN,,19.822491452331132,Onshore wind [VN],10.032065441886754
KH,TH,VN,,19.822491452331132,Offshore wind [VN],1.0573413633402924
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [VN],1.838643953865704e-06
KH,TH,VN,,19.822491452331132,Battery storage [VN],1.6726946412873906
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [VN],0.5130686726462822
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [VN],0.3562077714720232
KH,TH,VN,,19.822491452331132,Ammonia storage [VN],0.9070398999911956
KH,TH,VN,,19.822491452331132,Ammonia to electricity [VN],0.3914214732415065
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [VN],0.0226842514601586
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [VN],1.399994260144083
KH,TH,VN,,19.822491452331132,Electricity Demand [VN],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [VN],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [TH],1.6001536793915207e-09
KH,TH,VN,,19.822491452331132,Openfield PV [TH],3.265037008847664
KH,TH,VN,,19.822491452331132,Onshore wind [TH],10.743780739446493
KH,TH,VN,,19.822491452331132,Offshore wind [TH],2.3197759553788896e-09
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [TH],0.1500251720445362
KH,TH,VN,,19.822491452331132,Battery storage [TH],1.8407903633449665
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [TH],0.3706645631807248
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [TH],0.6456549587021622
KH,TH,VN,,19.822491452331132,Ammonia storage [TH],1.4935456370578395
KH,TH,VN,,19.822491452331132,Ammonia to electricity [TH],0.4641563533115864
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [TH],0.0397336522759457
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [TH],0.9607549811970788
KH,TH,VN,,19.822491452331132,Electricity Demand [TH],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [TH],0.0
KH,TH,VN,,19.822491452331132,Rooftop PV [KH],1.5474630286022286e-09
KH,TH,VN,,19.822491452331132,Openfield PV [KH],0.4543587041304556
KH,TH,VN,,19.822491452331132,Onshore wind [KH],1.612179857258963
KH,TH,VN,,19.822491452331132,Offshore wind [KH],4.50069520852452e-09
KH,TH,VN,,19.822491452331132,Fossil fuel powerplant [KH],2.298716110478053e-07
KH,TH,VN,,19.822491452331132,Battery storage [KH],0.0454914137039044
KH,TH,VN,,19.822491452331132,Electric High Temp. Heating [KH],0.1252539840668575
KH,TH,VN,,19.822491452331132,Electricity to Ammonia [KH],0.0545379106689759
KH,TH,VN,,19.822491452331132,Ammonia storage [KH],0.0677943661661738
KH,TH,VN,,19.822491452331132,Ammonia to electricity [KH],1.221427448162818e-06
KH,TH,VN,,19.822491452331132,Ammonia High Temp. Heating [KH],0.004412810722026
KH,TH,VN,,19.822491452331132,Fossil High Temp. Heating [KH],0.290705235397879
KH,TH,VN,,19.822491452331132,Electricity Demand [KH],0.0
KH,TH,VN,,19.822491452331132,High Temp. Heating Demand [KH],0.0
KH,TH,VN,,39.64498292999272,Rooftop PV [VN],1.2682974141421542e-09
