,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
SGP,high,0,0.13203033768706166,0.08756896788344022,0.07693840386694821,0.0663231551359459
SGP,high,1,0.13299248661305266,0.0882071120393606,0.07749907957182675,0.06680647399735512
SGP,high,2,0.14140974137634957,0.09378984646954083,0.08240408972157354,0.0710347362533232
SGP,low,0,0.07197406019046902,0.054282518119378904,0.048961960102892284,0.043520622766523034
SGP,low,1,0.07249855907401809,0.05467809285942417,0.04931876216939211,0.0438377720004553
SGP,low,2,0.07708708025471801,0.05813873525577296,0.05244020606718204,0.04661231742463975
SGP,medium,0,0.09025967775509303,0.07297413993207708,0.06411533658500043,0.055269295962200364
SGP,medium,1,0.09091743000759572,0.07350592672889025,0.06458256633927875,0.0556720616801549
SGP,medium,2,0.09667170372852216,0.07815820542256935,0.0686700747992633,0.059195613561121484
