,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
LAO,high,1959.8299999999997,884.0,698.0000000000001,509.99999999999994
LAO,low,576.67,359.99999999999994,268.0,175.0
LAO,medium,856.51,622.0000000000001,481.99999999999994,341.99999999999994
