,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
LAO,high,0.14306594643032097,0.06453125865223196,0.05095341463716956,0.037229572299364584
LAO,low,0.04209642638798937,0.026279698093669125,0.019563775247509227,0.012774853239978044
LAO,medium,0.06252451170613484,0.04540547837295054,0.035185595780968096,0.024965713188985654
