,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
THA,high,2176.929158,1181.447437,915.7786475,650.100489
THA,low,1068.245865,579.7522599,449.3817027,319.01299819999997
THA,medium,1335.307332,724.6903249,561.7271284,398.7662477
