,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
THA,high,0.16427170048502235,0.0891523634549353,0.06910492017613942,0.04905676990990754
THA,low,0.08061014026789261,0.04374827230542689,0.03391047255630752,0.024072812612462295
THA,medium,0.10076267539145992,0.0546853403836704,0.04238809069727042,0.03009101576180509
