,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
IDN,high,0,2706.6913580234605,1795.2098945815947,1577.2777415762102,1359.6595599774469
IDN,high,1,3453.902813198353,2290.7970230146148,2012.7023395842864,1735.0083027649625
IDN,high,2,3759.3887277358936,2493.4102004668352,2190.7189915136732,1888.463864997177
IDN,high,3,3799.105506371595,2519.752307694549,2213.8632597813676,1908.4149013802219
IDN,high,4,3847.082772758184,2551.5731738145214,2241.8211849246454,1932.5154508243716
IDN,high,5,4189.686245347388,2778.8045284688374,2441.4674541259064,2104.6163759727183
IDN,high,6,4746.833050856225,3148.331499109938,2766.1351531339374,2384.4894313832015
IDN,high,7,4964.417442987333,3292.6440940805655,2892.9287077848944,2493.789185116709
IDN,high,8,5064.301918084338,3358.892355995738,2951.134664232268,2543.964422517664
IDN,high,9,5077.500742287104,3367.646460794301,2958.8260515669754,2550.5946234286157
IDN,low,0,1475.5060854356418,1112.8201689043249,1003.745931458461,892.1956544338751
IDN,low,1,1882.8355158666297,1420.0262252157459,1280.8408635565506,1138.4959247896177
IDN,low,2,2049.3658905145517,1545.6226978286356,1394.126866015616,1239.1920032805829
IDN,low,3,2071.0168070096142,1561.9517233667875,1408.855384968206,1252.2836833500046
IDN,low,4,2097.170785854237,1581.6769386285084,1426.6472125421667,1268.0982343718072
IDN,low,5,2283.9351567566773,1722.5338017885442,1553.6978423440146,1381.0292224355794
IDN,low,6,2587.6541233018156,1951.59730412793,1760.3094449537423,1564.679256004672
IDN,low,7,2706.2664998978235,2041.0542343704878,1840.9981602372654,1636.4007134802887
IDN,low,8,2760.716797827108,2082.1204084351275,1878.0391901265707,1669.325226415146
IDN,low,9,2767.911909073875,2087.546929539869,1882.9338250667427,1673.6759011096906
IDN,medium,0,1850.3708620101845,1496.0082460859628,1314.398118579232,1133.0496336346635
IDN,medium,1,2361.1857727348943,1908.9975199414387,1677.2519504189634,1445.8402527123403
IDN,medium,2,2570.0245948461943,2077.8418345562663,1825.5991604260532,1573.7198879433479
IDN,medium,3,2597.176109443721,2099.793590588071,1844.8860506577516,1590.3457516006295
IDN,medium,4,2629.9747273936982,2126.3109790318463,1868.184321621007,1610.4295428096711
IDN,medium,5,2864.188163302498,2315.670441318231,2034.5562126960024,1753.846980471522
IDN,medium,6,3245.069497154145,2623.609583641759,2305.112628658347,1987.0745267089492
IDN,medium,7,3393.8163492955146,2743.870079498202,2410.773924247123,2078.1576548450985
IDN,medium,8,3462.1002050581196,2799.0769644493407,2459.27888797456,2119.9703526908906
IDN,medium,9,3471.1232950548606,2806.3720517844554,2465.6883774229445,2125.49552011824
