region,group,capacity
IDN,0,67.945
IDN,1,66.4506
IDN,2,66.4448
IDN,3,66.4448
IDN,4,66.4448
IDN,5,66.444
IDN,6,66.4448
IDN,7,66.4448
IDN,8,66.4448
IDN,9,66.4448
