,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
VNM,high,0.2330482444963234,0.1264791949790122,0.09803743027307989,0.06959566556714955
VNM,low,0.10409289473980696,0.05649253282859647,0.04378902794446454,0.031085523060333794
VNM,medium,0.14294954351116143,0.07758131763862544,0.06013492925549084,0.04268940399947352
