,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
VNM,high,2700.0454550000004,1465.3600000000001,1135.8400000000001,806.3200000000002
VNM,low,1205.997273,654.51,507.3299999999999,360.15
VNM,medium,1656.181818,898.8400000000001,696.71,494.5899999999999
