"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jul 2019","1","88.85","0.00","5581.548","0.000"
"USEP","01 Jul 2019","2","88.75","0.00","5479.405","0.000"
"USEP","01 Jul 2019","3","83.68","0.00","5390.506","0.000"
"USEP","01 Jul 2019","4","80.91","0.00","5315.092","0.000"
"USEP","01 Jul 2019","5","78.64","0.00","5268.985","0.000"
"USEP","01 Jul 2019","6","76.01","0.00","5219.827","0.000"
"USEP","01 Jul 2019","7","75.00","0.00","5189.286","0.000"
"USEP","01 Jul 2019","8","74.99","0.00","5177.388","0.000"
"USEP","01 Jul 2019","9","74.38","0.00","5173.884","0.000"
"USEP","01 Jul 2019","10","76.00","0.00","5205.503","0.000"
"USEP","01 Jul 2019","11","78.65","0.00","5283.552","0.000"
"USEP","01 Jul 2019","12","83.68","0.00","5425.132","0.000"
"USEP","01 Jul 2019","13","88.73","0.00","5616.950","0.000"
"USEP","01 Jul 2019","14","93.81","0.00","5813.786","0.000"
"USEP","01 Jul 2019","15","98.90","0.00","6040.389","0.000"
"USEP","01 Jul 2019","16","98.35","0.00","6281.185","0.000"
"USEP","01 Jul 2019","17","99.38","0.00","6558.814","0.000"
"USEP","01 Jul 2019","18","109.25","0.00","6743.037","0.000"
"USEP","01 Jul 2019","19","106.55","0.00","6855.334","0.000"
"USEP","01 Jul 2019","20","120.99","0.00","6921.893","0.000"
"USEP","01 Jul 2019","21","134.82","0.00","6959.878","0.000"
"USEP","01 Jul 2019","22","129.28","0.00","6969.490","0.000"
"USEP","01 Jul 2019","23","104.01","0.00","6973.158","0.000"
"USEP","01 Jul 2019","24","101.66","0.00","6907.803","0.000"
"USEP","01 Jul 2019","25","92.54","0.00","6864.767","0.000"
"USEP","01 Jul 2019","26","92.54","0.00","6857.670","0.000"
"USEP","01 Jul 2019","27","94.11","0.00","6900.303","0.000"
"USEP","01 Jul 2019","28","98.52","0.00","6923.418","0.000"
"USEP","01 Jul 2019","29","94.12","0.00","6922.966","0.000"
"USEP","01 Jul 2019","30","94.10","0.00","6915.422","0.000"
"USEP","01 Jul 2019","31","96.74","0.00","6931.624","0.000"
"USEP","01 Jul 2019","32","94.41","0.00","6911.028","0.000"
"USEP","01 Jul 2019","33","93.16","0.00","6902.629","0.000"
"USEP","01 Jul 2019","34","92.39","0.00","6871.293","0.000"
"USEP","01 Jul 2019","35","92.33","0.00","6801.097","0.000"
"USEP","01 Jul 2019","36","100.10","0.00","6681.210","0.000"
"USEP","01 Jul 2019","37","99.40","0.00","6610.085","0.000"
"USEP","01 Jul 2019","38","101.06","0.00","6611.909","0.000"
"USEP","01 Jul 2019","39","101.72","0.00","6625.462","0.000"
"USEP","01 Jul 2019","40","102.67","0.00","6609.876","0.000"
"USEP","01 Jul 2019","41","101.74","0.00","6582.312","0.000"
"USEP","01 Jul 2019","42","101.66","0.00","6558.988","0.000"
"USEP","01 Jul 2019","43","104.58","0.00","6505.968","0.000"
"USEP","01 Jul 2019","44","102.83","0.00","6394.133","0.000"
"USEP","01 Jul 2019","45","101.70","0.00","6264.501","0.000"
"USEP","01 Jul 2019","46","98.98","0.00","6136.767","0.000"
"USEP","01 Jul 2019","47","94.94","0.00","5992.920","0.000"
"USEP","01 Jul 2019","48","92.14","0.00","5833.010","0.000"
"USEP","02 Jul 2019","1","91.38","0.00","5680.998","0.000"
"USEP","02 Jul 2019","2","90.59","0.00","5574.103","0.000"
"USEP","02 Jul 2019","3","90.47","0.00","5514.309","0.000"
"USEP","02 Jul 2019","4","88.73","0.00","5445.420","0.000"
"USEP","02 Jul 2019","5","83.69","0.00","5387.872","0.000"
"USEP","02 Jul 2019","6","83.66","0.00","5345.046","0.000"
"USEP","02 Jul 2019","7","81.00","0.00","5307.547","0.000"
"USEP","02 Jul 2019","8","80.91","0.00","5286.996","0.000"
"USEP","02 Jul 2019","9","81.01","0.00","5287.111","0.000"
"USEP","02 Jul 2019","10","81.92","0.00","5312.353","0.000"
"USEP","02 Jul 2019","11","83.68","0.00","5376.426","0.000"
"USEP","02 Jul 2019","12","88.12","0.00","5512.142","0.000"
"USEP","02 Jul 2019","13","90.57","0.00","5690.908","0.000"
"USEP","02 Jul 2019","14","92.13","0.00","5852.060","0.000"
"USEP","02 Jul 2019","15","93.86","0.00","6049.126","0.000"
"USEP","02 Jul 2019","16","92.35","0.00","6308.401","0.000"
"USEP","02 Jul 2019","17","98.51","0.00","6564.227","0.000"
"USEP","02 Jul 2019","18","101.65","0.00","6744.175","0.000"
"USEP","02 Jul 2019","19","102.72","0.00","6848.675","0.000"
"USEP","02 Jul 2019","20","104.13","0.00","6908.126","0.000"
"USEP","02 Jul 2019","21","123.35","0.00","6959.406","0.000"
"USEP","02 Jul 2019","22","133.65","0.00","6985.305","0.000"
"USEP","02 Jul 2019","23","129.32","0.00","6976.294","0.000"
