"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 May 2019","1","95.91","0.00","5630.866","0.000"
"USEP","01 May 2019","2","95.39","0.00","5550.551","0.000"
"USEP","01 May 2019","3","90.84","0.00","5473.357","0.000"
"USEP","01 May 2019","4","90.82","0.00","5402.624","0.000"
"USEP","01 May 2019","5","87.77","0.00","5338.635","0.000"
"USEP","01 May 2019","6","82.39","0.00","5279.492","0.000"
"USEP","01 May 2019","7","78.90","0.00","5212.352","0.000"
"USEP","01 May 2019","8","78.68","0.00","5188.750","0.000"
"USEP","01 May 2019","9","78.59","0.00","5152.613","0.000"
"USEP","01 May 2019","10","78.59","0.00","5146.624","0.000"
"USEP","01 May 2019","11","78.59","0.00","5176.956","0.000"
"USEP","01 May 2019","12","78.69","0.00","5230.980","0.000"
"USEP","01 May 2019","13","78.73","0.00","5248.772","0.000"
"USEP","01 May 2019","14","78.73","0.00","5282.051","0.000"
"USEP","01 May 2019","15","78.62","0.00","5330.524","0.000"
"USEP","01 May 2019","16","78.74","0.00","5428.562","0.000"
"USEP","01 May 2019","17","79.41","0.00","5525.795","0.000"
"USEP","01 May 2019","18","84.72","0.00","5654.936","0.000"
"USEP","01 May 2019","19","85.73","0.00","5740.941","0.000"
"USEP","01 May 2019","20","86.40","0.00","5832.066","0.000"
"USEP","01 May 2019","21","86.87","0.00","5888.819","0.000"
"USEP","01 May 2019","22","80.79","0.00","5897.288","0.000"
"USEP","01 May 2019","23","80.80","0.00","5894.922","0.000"
"USEP","01 May 2019","24","80.75","0.00","5870.927","0.000"
"USEP","01 May 2019","25","80.75","0.00","5855.102","0.000"
"USEP","01 May 2019","26","80.79","0.00","5876.627","0.000"
"USEP","01 May 2019","27","82.52","0.00","5895.106","0.000"
"USEP","01 May 2019","28","82.77","0.00","5916.691","0.000"
"USEP","01 May 2019","29","83.03","0.00","5930.999","0.000"
"USEP","01 May 2019","30","82.69","0.00","5915.846","0.000"
"USEP","01 May 2019","31","82.69","0.00","5917.754","0.000"
"USEP","01 May 2019","32","84.48","0.00","5932.585","0.000"
"USEP","01 May 2019","33","83.51","0.00","5949.120","0.000"
"USEP","01 May 2019","34","84.78","0.00","5938.892","0.000"
"USEP","01 May 2019","35","84.78","0.00","5955.471","0.000"
"USEP","01 May 2019","36","85.19","0.00","5966.902","0.000"
"USEP","01 May 2019","37","85.73","0.00","6013.531","0.000"
"USEP","01 May 2019","38","86.84","0.00","6104.745","0.000"
"USEP","01 May 2019","39","87.84","0.00","6167.586","0.000"
"USEP","01 May 2019","40","90.92","0.00","6196.690","0.000"
"USEP","01 May 2019","41","91.94","0.00","6216.247","0.000"
"USEP","01 May 2019","42","98.24","0.00","6259.218","0.000"
"USEP","01 May 2019","43","102.60","0.00","6261.683","0.000"
"USEP","01 May 2019","44","92.91","0.00","6180.434","0.000"
"USEP","01 May 2019","45","95.93","0.00","6057.511","0.000"
"USEP","01 May 2019","46","89.16","0.00","5926.397","0.000"
"USEP","01 May 2019","47","90.87","0.00","5798.966","0.000"
"USEP","01 May 2019","48","90.91","0.00","5804.264","0.000"
"USEP","02 May 2019","1","100.89","0.00","5798.723","0.000"
"USEP","02 May 2019","2","98.45","0.00","5677.360","0.000"
"USEP","02 May 2019","3","82.73","0.00","5409.099","0.000"
"USEP","02 May 2019","4","82.04","0.00","5329.182","0.000"
"USEP","02 May 2019","5","82.04","0.00","5300.922","0.000"
"USEP","02 May 2019","6","80.06","0.00","5252.962","0.000"
"USEP","02 May 2019","7","79.69","0.00","5224.330","0.000"
"USEP","02 May 2019","8","79.68","0.00","5198.600","0.000"
"USEP","02 May 2019","9","79.68","0.00","5187.452","0.000"
"USEP","02 May 2019","10","79.69","0.00","5209.584","0.000"
"USEP","02 May 2019","11","80.07","0.00","5285.073","0.000"
"USEP","02 May 2019","12","82.73","0.00","5424.959","0.000"
"USEP","02 May 2019","13","83.81","0.00","5606.036","0.000"
"USEP","02 May 2019","14","83.97","0.00","5767.233","0.000"
"USEP","02 May 2019","15","83.97","0.00","5966.669","0.000"
"USEP","02 May 2019","16","84.59","0.00","6233.185","0.000"
"USEP","02 May 2019","17","92.98","0.00","6506.098","0.000"
"USEP","02 May 2019","18","92.09","0.00","6703.352","0.000"
"USEP","02 May 2019","19","98.85","0.00","6824.068","0.000"
"USEP","02 May 2019","20","101.01","0.00","6896.372","0.000"
"USEP","02 May 2019","21","103.79","0.00","6952.076","0.000"
"USEP","02 May 2019","22","103.29","0.00","6978.909","0.000"
"USEP","02 May 2019","23","101.04","0.00","6972.552","0.000"
"USEP","02 May 2019","24","94.98","0.00","6918.399","0.000"
"USEP","02 May 2019","25","96.03","0.00","6884.752","0.000"
"USEP","02 May 2019","26","98.53","0.00","6909.001","0.000"
"USEP","02 May 2019","27","108.68","0.00","6972.075","0.000"
"USEP","02 May 2019","28","108.10","0.00","7011.403","0.000"
"USEP","02 May 2019","29","111.15","0.00","7037.187","0.000"
"USEP","02 May 2019","30","111.16","0.00","7024.921","0.000"
"USEP","02 May 2019","31","104.10","0.00","7024.280","0.000"
"USEP","02 May 2019","32","103.82","0.00","7019.215","0.000"
"USEP","02 May 2019","33","101.02","0.00","6977.507","0.000"
"USEP","02 May 2019","34","93.93","0.00","6912.947","0.000"
"USEP","02 May 2019","35","95.18","0.00","6820.381","0.000"
"USEP","02 May 2019","36","94.30","0.00","6696.931","0.000"
"USEP","02 May 2019","37","92.82","0.00","6636.903","0.000"
"USEP","02 May 2019","38","92.11","0.00","6657.723","0.000"
"USEP","02 May 2019","39","93.96","0.00","6673.090","0.000"
"USEP","02 May 2019","40","94.75","0.00","6652.867","0.000"
"USEP","02 May 2019","41","91.25","0.00","6609.503","0.000"
"USEP","02 May 2019","42","96.01","0.00","6579.539","0.000"
"USEP","02 May 2019","43","106.17","0.00","6525.461","0.000"
"USEP","02 May 2019","44","103.36","0.00","6405.798","0.000"
"USEP","02 May 2019","45","104.21","0.00","6269.366","0.000"
"USEP","02 May 2019","46","100.98","0.00","6143.263","0.000"
"USEP","02 May 2019","47","95.52","0.00","6012.149","0.000"
"USEP","02 May 2019","48","88.86","0.00","5823.528","0.000"
"USEP","03 May 2019","1","95.90","0.00","5660.298","0.000"
"USEP","03 May 2019","2","95.49","0.00","5542.822","0.000"
"USEP","03 May 2019","3","92.76","0.00","5492.719","0.000"
"USEP","03 May 2019","4","90.74","0.00","5424.213","0.000"
"USEP","03 May 2019","5","90.72","0.00","5381.740","0.000"
"USEP","03 May 2019","6","84.01","0.00","5328.451","0.000"
"USEP","03 May 2019","7","83.71","0.00","5290.843","0.000"
"USEP","03 May 2019","8","83.45","0.00","5275.635","0.000"
"USEP","03 May 2019","9","83.45","0.00","5277.360","0.000"
"USEP","03 May 2019","10","83.73","0.00","5286.465","0.000"
"USEP","03 May 2019","11","84.02","0.00","5354.872","0.000"
"USEP","03 May 2019","12","84.09","0.00","5495.915","0.000"
"USEP","03 May 2019","13","86.50","0.00","5664.696","0.000"
"USEP","03 May 2019","14","92.85","0.00","5836.728","0.000"
"USEP","03 May 2019","15","84.76","0.00","6029.514","0.000"
"USEP","03 May 2019","16","87.51","0.00","6294.167","0.000"
"USEP","03 May 2019","17","94.44","0.00","6557.488","0.000"
"USEP","03 May 2019","18","90.91","0.00","6749.787","0.000"
"USEP","03 May 2019","19","99.44","0.00","6885.547","0.000"
"USEP","03 May 2019","20","101.00","0.00","6953.587","0.000"
"USEP","03 May 2019","21","103.81","0.00","7013.127","0.000"
"USEP","03 May 2019","22","108.49","0.00","7044.508","0.000"
"USEP","03 May 2019","23","108.59","0.00","7042.033","0.000"
"USEP","03 May 2019","24","103.74","0.00","6991.622","0.000"
"USEP","03 May 2019","25","101.03","0.00","6939.233","0.000"
"USEP","03 May 2019","26","99.19","0.00","6935.531","0.000"
"USEP","03 May 2019","27","94.04","0.00","6953.607","0.000"
"USEP","03 May 2019","28","93.95","0.00","6952.379","0.000"
"USEP","03 May 2019","29","90.91","0.00","6972.040","0.000"
"USEP","03 May 2019","30","90.91","0.00","6960.023","0.000"
"USEP","03 May 2019","31","90.91","0.00","6969.714","0.000"
"USEP","03 May 2019","32","90.89","0.00","6967.294","0.000"
"USEP","03 May 2019","33","85.29","0.00","6973.064","0.000"
"USEP","03 May 2019","34","84.72","0.00","6948.781","0.000"
"USEP","03 May 2019","35","82.93","0.00","6875.309","0.000"
"USEP","03 May 2019","36","80.83","0.00","6744.071","0.000"
"USEP","03 May 2019","37","80.53","0.00","6653.170","0.000"
"USEP","03 May 2019","38","80.40","0.00","6658.940","0.000"
"USEP","03 May 2019","39","81.73","0.00","6662.156","0.000"
"USEP","03 May 2019","40","82.06","0.00","6640.079","0.000"
"USEP","03 May 2019","41","81.64","0.00","6580.563","0.000"
"USEP","03 May 2019","42","92.18","0.00","6538.413","0.000"
"USEP","03 May 2019","43","88.93","0.00","6474.961","0.000"
"USEP","03 May 2019","44","85.88","0.00","6372.320","0.000"
"USEP","03 May 2019","45","85.84","0.00","6243.105","0.000"
"USEP","03 May 2019","46","82.65","0.00","6126.405","0.000"
"USEP","03 May 2019","47","81.49","0.00","6013.263","0.000"
"USEP","03 May 2019","48","80.48","0.00","5882.477","0.000"
"USEP","04 May 2019","1","95.64","0.00","5755.866","0.000"
"USEP","04 May 2019","2","90.82","0.00","5647.530","0.000"
"USEP","04 May 2019","3","85.79","0.00","5571.166","0.000"
"USEP","04 May 2019","4","80.27","0.00","5484.499","0.000"
"USEP","04 May 2019","5","79.40","0.00","5410.531","0.000"
"USEP","04 May 2019","6","78.98","0.00","5361.303","0.000"
"USEP","04 May 2019","7","78.38","0.00","5325.688","0.000"
