Demand,Units
2.060379386,GW
2.341543718,GW
2.37736083,GW
2.10783706,GW
1.714744252,GW
1.471187888,GW
1.378063396,GW
1.312697166,GW
1.289416043,GW
1.310906311,GW
1.373586257,GW
1.464024466,GW
1.562521525,GW
1.651168878,GW
1.714744252,GW
1.746084225,GW
1.746084225,GW
1.72369853,GW
1.692358557,GW
1.667286578,GW
1.657436872,GW
1.667286578,GW
1.692358557,GW
1.756829359,GW
2.022771418,GW
2.30393575,GW
2.343334573,GW
2.074706231,GW
1.679822568,GW
1.43357992,GW
1.337769145,GW
1.270612059,GW
1.244644653,GW
1.265239492,GW
1.326128583,GW
1.414775936,GW
1.51148214,GW
1.599234065,GW
1.661914011,GW
1.692358557,GW
1.691463129,GW
1.669077434,GW
1.637737461,GW
1.611770054,GW
1.601920348,GW
1.612665482,GW
1.638632888,GW
1.692358557,GW
1.945764626,GW
2.232301525,GW
2.285131766,GW
2.026353129,GW
1.632364894,GW
1.387913102,GW
1.297474894,GW
1.232108664,GW
1.207932113,GW
1.172115,GW
1.23748123,GW
1.329710295,GW
1.429102781,GW
1.512377567,GW
1.565207808,GW
1.579534653,GW
1.558044386,GW
1.513272995,GW
1.463129038,GW
1.424625642,GW
1.411194225,GW
1.428207354,GW
1.47029246,GW
1.55625353,GW
1.848162995,GW
2.156190161,GW
2.220660963,GW
1.969941177,GW
1.58490722,GW
1.34403714,GW
1.250912648,GW
1.185546418,GW
1.161369867,GW
1.185546418,GW
1.251808075,GW
1.345827995,GW
1.445220482,GW
1.530286124,GW
1.584011792,GW
1.598338637,GW
1.577743797,GW
1.532972407,GW
1.48282845,GW
1.444325054,GW
1.430893637,GW
1.447906765,GW
1.489096444,GW
1.574162086,GW
1.863385268,GW
2.171412434,GW
2.236778664,GW
1.986058878,GW
1.60102492,GW
1.359259412,GW
1.265239492,GW
1.198082407,GW
1.173905856,GW
1.197186979,GW
1.318965161,GW
1.410298797,GW
1.509691284,GW
1.599234065,GW
1.664600295,GW
1.696835696,GW
1.697731124,GW
1.677136284,GW
1.647587166,GW
1.624306043,GW
1.616247193,GW
1.627887755,GW
1.655646017,GW
1.70758083,GW
1.955614332,GW
2.244837514,GW
2.304831177,GW
2.05052968,GW
1.659227728,GW
1.414775936,GW
1.321651444,GW
1.25807607,GW
1.234794947,GW
1.25807607,GW
1.322546872,GW
1.414775936,GW
1.515063851,GW
1.606397487,GW
1.671763717,GW
1.705789974,GW
1.708476257,GW
1.688776846,GW
1.661018584,GW
1.638632888,GW
1.632364894,GW
1.645796311,GW
1.675345428,GW
1.733548236,GW
1.992326872,GW
2.281550054,GW
2.335275723,GW
2.077392514,GW
1.68698599,GW
1.444325054,GW
1.353886845,GW
1.291206899,GW
1.269716632,GW
1.293893182,GW
1.358363985,GW
1.451488477,GW
1.552671819,GW
1.644005455,GW
1.711162541,GW
1.745188798,GW
1.747875081,GW
1.728175669,GW
1.699521979,GW
1.677136284,GW
1.670868289,GW
1.683404279,GW
1.712057969,GW
1.77294706,GW
2.034411979,GW
2.320948878,GW
2.36930198,GW
2.10783706,GW
1.71563968,GW
1.471187888,GW
1.378958824,GW
1.314488022,GW
1.290311471,GW
1.312697166,GW
1.375377113,GW
1.464919894,GW
1.56431238,GW
1.652959733,GW
1.716535108,GW
1.747875081,GW
1.747875081,GW
1.725489386,GW
1.694149412,GW
1.668182006,GW
1.659227728,GW
1.669077434,GW
1.694149412,GW
1.740711658,GW
1.980686311,GW
2.268118637,GW
2.330798584,GW
2.077392514,GW
1.683404279,GW
1.435370776,GW
1.339560001,GW
1.273298343,GW
1.247330936,GW
1.267030348,GW
1.327919439,GW
1.41746222,GW
1.514168423,GW
1.601920348,GW
1.664600295,GW
1.69504484,GW
1.694149412,GW
1.671763717,GW
1.640423744,GW
1.614456338,GW
1.604606632,GW
1.615351765,GW
1.641319172,GW
1.690567701,GW
1.935914921,GW
2.223347247,GW
2.28334091,GW
2.029039413,GW
1.635946605,GW
1.389703958,GW
1.298370321,GW
1.233004091,GW
1.209722968,GW
1.173010428,GW
1.238376658,GW
1.33150115,GW
1.429998209,GW
1.514168423,GW
1.566998664,GW
1.580430081,GW
1.559835241,GW
1.515063851,GW
1.464024466,GW
1.42552107,GW
1.412089653,GW
1.429102781,GW
1.471187888,GW
1.549090108,GW
1.830254439,GW
2.141863316,GW
2.215288397,GW
1.971732033,GW
1.586698076,GW
1.344932567,GW
1.250912648,GW
1.185546418,GW
1.162265295,GW
1.186441845,GW
1.252703503,GW
1.345827995,GW
1.44611591,GW
1.530286124,GW
1.584011792,GW
1.599234065,GW
1.577743797,GW
1.533867835,GW
1.48282845,GW
1.444325054,GW
1.430893637,GW
1.447906765,GW
1.489096444,GW
1.557148958,GW
1.818613878,GW
2.133804466,GW
2.222451819,GW
1.986954306,GW
1.602815776,GW
1.359259412,GW
1.267030348,GW
1.199873263,GW
1.175696712,GW
1.198977835,GW
1.320756017,GW
1.411194225,GW
1.51148214,GW
1.60102492,GW
1.665495723,GW
1.698626552,GW
1.699521979,GW
1.67892714,GW
1.649378022,GW
1.625201471,GW
1.618038049,GW
1.62967861,GW
1.657436872,GW
1.702208263,GW
1.938601204,GW
2.229615242,GW
2.300354038,GW
2.052320536,GW
1.661914011,GW
1.415671364,GW
1.326128583,GW
1.261657781,GW
1.239272086,GW
1.262553209,GW
