Demand,units
24.402,GW
24.147,GW
22.316,GW
20.958,GW
20.331,GW
20.404,GW
21.583,GW
22.624,GW
23.947,GW
26.22,GW
28.065,GW
29.211,GW
30.179,GW
30.47,GW
31.08,GW
32.516,GW
36.367,GW
37.034,GW
36.514,GW
35.123,GW
33.313,GW
31.193,GW
28.45,GW
25.782,GW
25.273,GW
25.102,GW
24.156,GW
23.646,GW
23.236,GW
25.059,GW
30.05,GW
34.231,GW
37.534,GW
39.097,GW
39.255,GW
39.29,GW
39.751,GW
40.217,GW
41.076,GW
42.262,GW
44.454,GW
45.011,GW
44.72,GW
43.728,GW
41.276,GW
38.057,GW
34.255,GW
30.266,GW
28.955,GW
28.616,GW
27.534,GW
26.959,GW
26.364,GW
28.15,GW
33.172,GW
37.696,GW
40.668,GW
41.945,GW
42.394,GW
42.291,GW
42.374,GW
42.912,GW
43.413,GW
44.128,GW
44.779,GW
44.654,GW
44.422,GW
44.527,GW
42.516,GW
39.311,GW
35.269,GW
31.191,GW
29.734,GW
29.306,GW
28.077,GW
27.507,GW
26.971,GW
28.709,GW
33.791,GW
38.62,GW
41.471,GW
42.738,GW
42.717,GW
42.533,GW
42.591,GW
42.308,GW
42.509,GW
43.465,GW
44.481,GW
44.641,GW
44.763,GW
44.176,GW
41.382,GW
38.249,GW
34.443,GW
30.903,GW
29.558,GW
29.048,GW
27.591,GW
26.837,GW
26.045,GW
26.4,GW
28.574,GW
31.16,GW
34.602,GW
37.267,GW
37.905,GW
38.398,GW
38.736,GW
39.026,GW
38.983,GW
39.671,GW
42.398,GW
42.994,GW
42.42,GW
40.591,GW
38.04,GW
35.284,GW
32.188,GW
29.387,GW
28.191,GW
27.434,GW
25.885,GW
25.369,GW
24.363,GW
24.507,GW
25.832,GW
27.588,GW
30.518,GW
33.858,GW
35.708,GW
36.62,GW
37.235,GW
37.419,GW
37.792,GW
39.281,GW
42.077,GW
42.58,GW
41.899,GW
40.299,GW
37.752,GW
34.673,GW
31.151,GW
27.301,GW
26.184,GW
25.975,GW
24.719,GW
24.088,GW
23.177,GW
25.018,GW
31.566,GW
36.833,GW
38.427,GW
39.269,GW
39.052,GW
39.026,GW
38.978,GW
38.97,GW
38.924,GW
39.7,GW
42.653,GW
43.007,GW
42.288,GW
40.61,GW
37.956,GW
34.165,GW
29.946,GW
26.068,GW
25.066,GW
24.841,GW
23.792,GW
23.15,GW
22.902,GW
25.095,GW
31.861,GW
37.883,GW
38.734,GW
39.185,GW
38.322,GW
37.583,GW
36.973,GW
36.906,GW
38.043,GW
40.216,GW
44.553,GW
45.24,GW
44.519,GW
43.412,GW
41.156,GW
37.579,GW
33.311,GW
29.2,GW
27.988,GW
27.63,GW
26.541,GW
26.074,GW
25.731,GW
28.149,GW
34.964,GW
41.284,GW
42.279,GW
42.615,GW
41.754,GW
40.842,GW
40.53,GW
40.907,GW
41.843,GW
43.593,GW
45.24,GW
45.403,GW
45.147,GW
44.958,GW
43.621,GW
40.034,GW
35.338,GW
31.148,GW
29.848,GW
29.575,GW
28.521,GW
28.088,GW
27.573,GW
29.722,GW
36.163,GW
41.919,GW
43.035,GW
43.645,GW
43.41,GW
43.193,GW
43.459,GW
43.495,GW
43.352,GW
44.518,GW
45.343,GW
45.596,GW
45.216,GW
45.029,GW
42.89,GW
