Demand,Units
29.389603,GW
29.451694,GW
29.250905,GW
29.026483,GW
30.034391,GW
29.357526,GW
27.152945,GW
24.98797,GW
23.592591,GW
23.078607,GW
22.717777,GW
22.541635,GW
22.76736,GW
23.979265,GW
26.976587,GW
27.834699,GW
27.674281,GW
28.866838,GW
29.23269,GW
29.653365,GW
29.800187,GW
29.616047,GW
29.247733,GW
29.202786,GW
29.157572,GW
28.939802,GW
28.607249,GW
28.314698,GW
29.210468,GW
28.755199,GW
26.894586,GW
25.251679,GW
23.874314,GW
23.272627,GW
22.858719,GW
22.619523,GW
22.594783,GW
22.797562,GW
23.303269,GW
24.202749,GW
25.73693,GW
27.446864,GW
27.959252,GW
27.967831,GW
27.823253,GW
27.714557,GW
27.230478,GW
26.724799,GW
26.465103,GW
26.611594,GW
26.845686,GW
27.151276,GW
28.227595,GW
27.805968,GW
25.894296,GW
24.172405,GW
22.914271,GW
22.464795,GW
22.004271,GW
21.754244,GW
21.655775,GW
21.899034,GW
22.175353,GW
23.434289,GW
25.625632,GW
27.055255,GW
27.476997,GW
27.379972,GW
27.325246,GW
27.177475,GW
26.747477,GW
26.220929,GW
26.016038,GW
26.227921,GW
26.511817,GW
27.089329,GW
28.491141,GW
28.248459,GW
26.270818,GW
24.515605,GW
23.213227,GW
21.761864,GW
21.38346,GW
21.194085,GW
21.464081,GW
22.393663,GW
25.809662,GW
27.296908,GW
27.266019,GW
28.621511,GW
29.163951,GW
29.631234,GW
29.895292,GW
29.726115,GW
29.577126,GW
29.696484,GW
29.811471,GW
29.836666,GW
29.548386,GW
29.536051,GW
30.52811,GW
29.710821,GW
27.258696,GW
24.745105,GW
23.408953,GW
23.009855,GW
22.690111,GW
22.525998,GW
22.773441,GW
23.83079,GW
26.725905,GW
27.387248,GW
27.120049,GW
28.038857,GW
28.285992,GW
28.552283,GW
28.868801,GW
28.776504,GW
28.666434,GW
28.846165,GW
28.999512,GW
28.975064,GW
28.760991,GW
29.012356,GW
29.787792,GW
29.16639,GW
26.906762,GW
24.744837,GW
23.331191,GW
22.940543,GW
22.747345,GW
22.662916,GW
22.899097,GW
24.039119,GW
26.869476,GW
27.613778,GW
26.953494,GW
27.707009,GW
28.276533,GW
28.854361,GW
29.134085,GW
29.192943,GW
29.009365,GW
29.455478,GW
29.630343,GW
29.52016,GW
29.156525,GW
29.53145,GW
30.460234,GW
30.126077,GW
27.615138,GW
25.101883,GW
23.586738,GW
23.239667,GW
22.934845,GW
22.836899,GW
23.095984,GW
24.236633,GW
27.130022,GW
28.183742,GW
27.771066,GW
28.771661,GW
29.046974,GW
29.210173,GW
29.338189,GW
29.217987,GW
29.131782,GW
29.377404,GW
29.763091,GW
29.786269,GW
29.588325,GW
29.552035,GW
30.658077,GW
30.044752,GW
27.590985,GW
25.576271,GW
24.479263,GW
23.472587,GW
23.16953,GW
23.010169,GW
23.209741,GW
24.402371,GW
27.193284,GW
28.436336,GW
28.031025,GW
29.010372,GW
29.423319,GW
29.796285,GW
29.86627,GW
29.543148,GW
29.266245,GW
29.222042,GW
29.197054,GW
29.019701,GW
28.561974,GW
28.487331,GW
29.91024,GW
29.709625,GW
27.929196,GW
25.786554,GW
24.595606,GW
23.336267,GW
22.981353,GW
22.807222,GW
22.736819,GW
23.01769,GW
23.535494,GW
24.635258,GW
25.955284,GW
27.752059,GW
28.419409,GW
28.327033,GW
28.020276,GW
27.866554,GW
27.460584,GW
26.977842,GW
26.799162,GW
26.893257,GW
26.992724,GW
27.300486,GW
28.525638,GW
27.836147,GW
26.182202,GW
24.413681,GW
23.058139,GW
22.619734,GW
22.132247,GW
21.800485,GW
21.726811,GW
21.874442,GW
22.440937,GW
23.53525,GW
25.464244,GW
27.00542,GW
27.569666,GW
27.29713,GW
27.374683,GW
27.28199,GW
26.868234,GW
26.491001,GW
26.29559,GW
26.476539,GW
26.550458,GW
27.231098,GW
28.320464,GW
27.726317,GW
25.660392,GW
23.993262,GW
22.999425,GW
22.798168,GW
22.617628,GW
22.465817,GW
22.666262,GW
23.808908,GW
26.850391,GW
28.374457,GW
28.077104,GW
29.486809,GW
30.038461,GW
30.317174,GW
30.341535,GW
30.089813,GW
29.993037,GW
30.209149,GW
30.527449,GW
30.571075,GW
30.655071,GW
30.782509,GW
31.641131,GW
30.883224,GW
28.507364,GW
26.357496,GW
24.702591,GW
23.278998,GW
22.936716,GW
22.785602,GW
22.985783,GW
24.380008,GW
27.100435,GW
28.155779,GW
27.897471,GW
28.897705,GW
29.191596,GW
29.533089,GW
29.731017,GW
29.599373,GW
29.436739,GW
29.639947,GW
29.908522,GW
29.860897,GW
29.640001,GW
29.692974,GW
30.606832,GW
29.741786,GW
27.440713,GW
25.241155,GW
24.076384,GW
23.463553,GW
23.121543,GW
22.932444,GW
23.176634,GW
24.427402,GW
27.219189,GW
28.282115,GW
27.601077,GW
28.521246,GW
28.775122,GW
29.03393,GW
29.176434,GW
29.125306,GW
28.917328,GW
29.104848,GW
29.611433,GW
29.668786,GW
29.435886,GW
29.608049,GW
30.685387,GW
29.617078,GW
27.320709,GW
25.206258,GW
23.837561,GW
22.894695,GW
22.536582,GW
22.3513,GW
22.610673,GW
23.92528,GW
27.060132,GW
27.980966,GW
27.635664,GW
28.669615,GW
28.935547,GW
29.035213,GW
29.207222,GW
29.016704,GW
28.795921,GW
28.92731,GW
29.300364,GW
29.390046,GW
29.361395,GW
29.445649,GW
30.693879,GW
30.037354,GW
27.379661,GW
25.543147,GW
24.404275,GW
23.089922,GW
22.692192,GW
22.685974,GW
22.925275,GW
24.323411,GW
27.049762,GW
28.09289,GW
28.143896,GW
29.216237,GW
29.41772,GW
29.584284,GW
29.58376,GW
29.397603,GW
29.016622,GW
28.644797,GW
28.542143,GW
28.646583,GW
28.87118,GW
29.007469,GW
29.560266,GW
29.136673,GW
27.200182,GW
25.571629,GW
24.302939,GW
23.391265,GW
23.035644,GW
22.761815,GW
22.783789,GW
23.227141,GW
24.075724,GW
25.166016,GW
26.689774,GW
28.092556,GW
28.540522,GW
28.527928,GW
28.443601,GW
28.179572,GW
27.756841,GW
27.387366,GW
27.282562,GW
27.449912,GW
27.587525,GW
27.930627,GW
28.419396,GW
27.327197,GW
26.064974,GW
24.244291,GW
23.051774,GW
22.210482,GW
21.848427,GW
21.728973,GW
21.787933,GW
22.05891,GW
22.366244,GW
23.412243,GW
25.39126,GW
27.064161,GW
27.600068,GW
27.519141,GW
27.252131,GW
27.104274,GW
26.911192,GW
26.445515,GW
26.207506,GW
26.49394,GW
26.67652,GW
27.393628,GW
28.353621,GW
27.837525,GW
25.734656,GW
23.827066,GW
22.542195,GW
21.815856,GW
21.608152,GW
21.518625,GW
21.79369,GW
22.999855,GW
26.235588,GW
27.520232,GW
27.170946,GW
28.193173,GW
28.684874,GW
29.049405,GW
29.111391,GW
29.076638,GW
28.83946,GW
29.053395,GW
29.324346,GW
29.415487,GW
29.376687,GW
29.762965,GW
30.606122,GW
29.700312,GW
27.370087,GW
25.088351,GW
23.856647,GW
23.192258,GW
