Demand,Units
1.498359715,GW
1.717058781,GW
1.764051968,GW
1.561619775,GW
1.250741764,GW
1.059154153,GW
0.992279232,GW
0.943478614,GW
0.925404311,GW
0.941671184,GW
0.988664372,GW
1.055539292,GW
1.129643935,GW
1.194711425,GW
1.245319473,GW
1.274238358,GW
1.28327551,GW
1.276045788,GW
1.263393776,GW
1.252549195,GW
1.250741764,GW
1.259778916,GW
1.277853219,GW
1.301349813,GW
1.46944083,GW
1.688139896,GW
1.736940514,GW
1.536315751,GW
1.22363031,GW
1.030235268,GW
0.959745487,GW
0.909137439,GW
0.891063136,GW
0.905522578,GW
0.950708335,GW
1.015775826,GW
1.089880468,GW
1.154947959,GW
1.203748577,GW
1.232667461,GW
1.241704613,GW
1.236282322,GW
1.22363031,GW
1.214593158,GW
1.212785728,GW
1.22363031,GW
1.239897183,GW
1.259778916,GW
1.415217921,GW
1.633916987,GW
1.691754756,GW
1.498359715,GW
1.187481704,GW
0.994086662,GW
0.923596881,GW
0.874796263,GW
0.85672196,GW
0.825995645,GW
0.874796263,GW
0.945286044,GW
1.019390687,GW
1.080843317,GW
1.122414213,GW
1.136873656,GW
1.129643935,GW
1.106147341,GW
1.079035886,GW
1.059154153,GW
1.055539292,GW
1.071806165,GW
1.10072505,GW
1.144103377,GW
1.332076128,GW
1.572464357,GW
1.639339278,GW
1.451366527,GW
1.147718237,GW
0.956130626,GW
0.887448275,GW
0.838647657,GW
0.820573354,GW
0.838647657,GW
0.889255705,GW
0.959745487,GW
1.033850129,GW
1.097110189,GW
1.138681086,GW
1.154947959,GW
1.145910807,GW
1.122414213,GW
1.095302759,GW
1.075421026,GW
1.071806165,GW
1.086265607,GW
1.116991922,GW
1.158562819,GW
1.34653557,GW
1.585116369,GW
1.65379872,GW
1.465825969,GW
1.16217768,GW
0.970590069,GW
0.900100287,GW
0.849492239,GW
0.831417936,GW
0.849492239,GW
0.943478614,GW
1.010353535,GW
1.086265607,GW
1.153140528,GW
1.203748577,GW
1.234474892,GW
1.245319473,GW
1.241704613,GW
1.232667461,GW
1.22543774,GW
1.22543774,GW
1.238089752,GW
1.256164055,GW
1.276045788,GW
1.426062503,GW
1.646568999,GW
1.708021629,GW
1.518241448,GW
1.207363437,GW
1.013968396,GW
0.945286044,GW
0.898292857,GW
0.882025984,GW
0.898292857,GW
0.947093475,GW
1.015775826,GW
1.091687898,GW
1.158562819,GW
1.210978298,GW
1.243512043,GW
1.256164055,GW
1.252549195,GW
1.243512043,GW
1.238089752,GW
1.239897183,GW
1.252549195,GW
1.272430928,GW
1.295927522,GW
1.456788818,GW
1.679102744,GW
1.735133083,GW
1.541738042,GW
1.232667461,GW
1.04107985,GW
0.972397499,GW
0.927211741,GW
0.910944869,GW
0.929019172,GW
0.97781979,GW
1.046502141,GW
1.122414213,GW
1.191096565,GW
1.243512043,GW
1.276045788,GW
1.288697801,GW
1.28689037,GW
1.277853219,GW
1.270623498,GW
1.274238358,GW
1.28508294,GW
1.304964673,GW
1.328461267,GW
1.492937424,GW
1.71163649,GW
1.765859398,GW
1.567042066,GW
1.256164055,GW
1.062769014,GW
0.992279232,GW
0.945286044,GW
0.927211741,GW
0.943478614,GW
0.990471802,GW
1.057346723,GW
1.131451365,GW
1.196518855,GW
1.247126904,GW
1.277853219,GW
1.28689037,GW
1.28327551,GW
1.272430928,GW
1.263393776,GW
1.263393776,GW
1.272430928,GW
1.288697801,GW
1.304964673,GW
1.449559097,GW
1.668258163,GW
1.731518223,GW
1.539930612,GW
1.22724517,GW
1.032042699,GW
0.961552917,GW
0.910944869,GW
0.892870566,GW
0.907330008,GW
0.952515766,GW
1.017583256,GW
1.089880468,GW
1.156755389,GW
1.205556007,GW
1.234474892,GW
1.243512043,GW
1.238089752,GW
1.22543774,GW
1.216400589,GW
1.216400589,GW
1.22543774,GW
1.241704613,GW
1.261586346,GW
1.411603061,GW
1.630302126,GW
1.691754756,GW
1.500167145,GW
1.189289134,GW
0.995894093,GW
0.925404311,GW
0.876603693,GW
0.85852939,GW
0.829610506,GW
0.878411124,GW
0.947093475,GW
1.021198117,GW
1.082650747,GW
1.124221644,GW
1.140488516,GW
1.133258795,GW
1.109762201,GW
1.082650747,GW
1.062769014,GW
1.059154153,GW
1.075421026,GW
1.10433991,GW
1.145910807,GW
1.326653837,GW
1.567042066,GW
1.637531848,GW
1.454981388,GW
1.149525668,GW
0.959745487,GW
0.889255705,GW
0.840455087,GW
0.822380784,GW
0.840455087,GW
0.891063136,GW
0.959745487,GW
1.035657559,GW
