region,group,capacity
PHL,0,98.583
PHL,1,90.534
PHL,2,87.086
PHL,3,84.21
PHL,4,77.652
PHL,5,64.904
PHL,6,58.86
PHL,7,50.33
PHL,8,38.74
PHL,9,37.281
