,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
PHL,high,0,7872.722068658654,3860.6727276116944,3619.3806821359753,3378.0886366602567
PHL,high,1,9094.183669060882,4459.660402696877,4180.931627528353,3902.2028523597987
PHL,high,2,9796.570947342621,4804.101294403114,4503.8449635029065,4203.5886326027285
PHL,high,3,10033.919099667935,4920.493506733239,4612.962662562427,4305.431818391588
PHL,high,4,10243.221191622968,5023.132323548511,4709.18655332675,4395.2407831049495
PHL,high,5,12617.950784275197,6187.666482616967,5800.937327453379,5414.208172289823
PHL,high,6,15363.325920107009,7533.960029059254,7063.087527243047,6592.215025426845
PHL,high,7,15375.909193330232,7540.130690151231,7068.872522016774,6597.614353882337
PHL,high,8,17744.080011942857,8701.448518217494,8157.6079858289095,7613.767453440301
PHL,high,9,2896738.9024296994,1420520.2193207524,1331737.7056132013,1242955.191905641
PHL,low,0,2115.85807801598,2059.5247896448636,1878.0423304539138,1696.5552434636627
PHL,low,1,2444.1358162186043,2379.0623553925893,2169.422690458186,1959.77767971623
PHL,low,2,2632.90810916726,2562.808713886736,2336.9775754752654,2111.1406783739853
PHL,low,3,2696.697355252682,2624.899614496114,2393.597112305683,2162.2887119057414
PHL,low,4,2752.948994539112,2679.653591982755,2443.526245471563,2207.39287771742
PHL,low,5,3391.1768841936646,3300.88909631242,3010.0193414411265,2719.1421693965267
PHL,low,6,4129.018777718496,4019.0864491224897,3664.930142699229,3310.764805296778
PHL,low,7,4132.400634726157,4022.378266477687,3667.9318896887708,3313.4764745238776
PHL,low,8,4768.865800520711,4641.897978276368,4232.860386378135,3823.8123640289064
PHL,low,9,778522.1367090971,757794.5120700927,691018.7139328936,624241.2130140897
PHL,medium,0,3273.3769942839813,2968.1386676301877,2757.0530127120905,2544.832865195478
PHL,medium,1,3781.2450820036024,3428.6486888860372,3184.812859424753,2939.666519574364
PHL,medium,2,4073.288715419607,3693.4596173219857,3430.791181127061,3166.7110175609782
PHL,medium,3,4171.975036958961,3782.943562323943,3513.9112802139502,3243.4330678585957
PHL,medium,4,4259.000165838891,3861.853706354108,3587.209557246824,3311.089316576141
PHL,medium,5,5246.382312501858,4757.163697948626,4418.847626100144,4078.7132540947705
PHL,medium,6,6387.874128412265,5792.212824127318,5380.286976207852,4966.147207945195
PHL,medium,7,6393.106092239064,5796.956913845435,5384.693679638717,4970.214711785781
PHL,medium,8,7377.76118466789,6689.794145615669,6214.034844375828,5735.718546043408
PHL,medium,9,1204426.9312401202,1092115.6204102044,1014447.4361387976,936361.8195211318
