Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,4,4,0,720,1,0
1,RE_PV_Rooftop_Lim,4,4,0,720,1,0
2,RE_PV_Openfield_Lim,4,4,0,720,1,0
3,RE_WIND_Onshore_Lim,4,4,0,720,1,0
4,RE_WIND_Offshore_Lim,4,4,0,720,1,0
5,PP_CO2,4,4,0,720,1,0
6,BESS,4,4,0,720,1,0
7,EL_to_HTH,4,4,0,720,1,0
8,EL_to_NH3,4,4,0,720,1,0
9,NH3_Storage,4,4,0,720,1,0
10,NH3_to_EL,4,4,0,720,1,0
11,NH3_to_HTH,4,4,0,720,1,0
12,FF_to_HTH,4,4,0,720,1,0
13,EL_Demand,4,4,0,720,1,0
14,HTH_Demand,4,4,0,720,1,0
15,RE_PV_Rooftop_Lim,8,8,0,720,1,0
16,RE_PV_Openfield_Lim,8,8,0,720,1,0
17,RE_WIND_Onshore_Lim,8,8,0,720,1,0
18,RE_WIND_Offshore_Lim,8,8,0,720,1,0
19,PP_CO2,8,8,0,720,1,0
20,BESS,8,8,0,720,1,0
21,EL_to_HTH,8,8,0,720,1,0
22,EL_to_NH3,8,8,0,720,1,0
23,NH3_Storage,8,8,0,720,1,0
24,NH3_to_EL,8,8,0,720,1,0
25,NH3_to_HTH,8,8,0,720,1,0
26,FF_to_HTH,8,8,0,720,1,0
27,EL_Demand,8,8,0,720,1,0
28,HTH_Demand,8,8,0,720,1,0
29,RE_PV_Rooftop_Lim,1,1,0,720,1,0
30,RE_PV_Openfield_Lim,1,1,0,720,1,0
31,RE_WIND_Onshore_Lim,1,1,0,720,1,0
32,RE_WIND_Offshore_Lim,1,1,0,720,1,0
33,PP_CO2,1,1,0,720,1,0
34,BESS,1,1,0,720,1,0
35,EL_to_HTH,1,1,0,720,1,0
36,EL_to_NH3,1,1,0,720,1,0
37,NH3_Storage,1,1,0,720,1,0
38,NH3_to_EL,1,1,0,720,1,0
39,NH3_to_HTH,1,1,0,720,1,0
40,FF_to_HTH,1,1,0,720,1,0
41,EL_Demand,1,1,0,720,1,0
42,HTH_Demand,1,1,0,720,1,0
43,NH3_Transport,4,8,0,720,96,108
44,EL_Transport,4,8,0,720,1,0
45,NH3_Transport,4,1,0,720,96,108
46,EL_Transport,4,1,0,720,1,0
47,NH3_Transport,8,1,0,720,96,108
48,EL_Transport,8,1,0,720,1,0
