Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,22,22,1108
1,RE_PV_Rooftop_Lim,22,22,22
2,RE_PV_Openfield_Lim,22,22,22
3,RE_WIND_Onshore_Lim,22,22,22
4,RE_WIND_Offshore_Lim,22,22,22
5,PP_CO2,22,22,22
6,BESS,22,22,22
7,EL_to_HTH,22,22,22
8,EL_to_NH3,22,22,22
9,NH3_Storage,22,22,22
10,NH3_to_EL,22,22,22
11,NH3_to_HTH,22,22,22
12,FF_to_HTH,22,22,22
13,EL_Demand,22,22,22
14,HTH_Demand,22,22,22
15,RE_PV_Rooftop_Lim,23,23,23
16,RE_PV_Openfield_Lim,23,23,23
17,RE_WIND_Onshore_Lim,23,23,23
18,RE_WIND_Offshore_Lim,23,23,23
19,PP_CO2,23,23,23
20,BESS,23,23,23
21,EL_to_HTH,23,23,23
22,EL_to_NH3,23,23,23
23,NH3_Storage,23,23,23
24,NH3_to_EL,23,23,23
25,NH3_to_HTH,23,23,23
26,FF_to_HTH,23,23,23
27,EL_Demand,23,23,23
28,HTH_Demand,23,23,23
29,NH3_Transport,22,23,0
30,EL_Transport,22,23,0
