,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
IDN,high,0,9866.214513694556,4838.253524714756,4535.862679420027,4233.471834125372
IDN,high,1,13150.293959450819,6448.7201258431105,6045.675117977874,5642.630110112811
IDN,high,2,14978.829688165075,7345.4084577499525,6886.320429140518,6427.232400531208
IDN,high,3,15775.81022641545,7736.236560358655,7252.72177533638,6769.206990313821
IDN,high,4,17309.49173497263,8488.33250903969,7957.811727224655,7427.290945409671
IDN,high,5,18183.887509161523,8917.123959964709,8359.803712466854,7802.483464969085
IDN,high,6,18845.19873008889,9241.421727983665,8663.832869984722,8086.244011985574
IDN,high,7,23082.277791489458,11319.226003864775,10611.77437862331,9904.322753381699
IDN,high,8,24417.70960806967,11974.103078006703,11225.721635631384,10477.34019325574
IDN,high,9,18756.994902677983,9198.167805390143,8623.2823175533,8048.396829716357
IDN,low,0,2651.625383975438,2581.0276539292677,2353.591087868005,2126.1487221785887
IDN,low,1,3534.2484416103875,3440.1514704074348,3137.0101088769065,2833.861017247345
IDN,low,2,4025.682288607695,3918.501224049986,3573.208347722931,3227.906666433994
IDN,low,3,4239.877289418296,4126.993428026757,3763.3285087458867,3399.654316016353
IDN,low,4,4652.066666953004,4528.208542538124,4129.189105548976,3730.159493571669
IDN,low,5,4887.067641973566,4756.952775752183,4337.776715168078,3918.5899656022284
IDN,low,6,5064.800410472134,4929.9535296583035,4495.532883323765,4061.1011592708705
IDN,low,7,6203.549864736016,6038.384550915749,5506.290505070455,4974.182890836991
IDN,low,8,6562.45802535804,6387.737024830165,5824.858525013262,5261.965671804939
IDN,low,9,5041.094914569664,4906.879176529805,4474.491810091219,4042.0934177828844
IDN,medium,0,4102.245618242753,3719.716325032226,3455.1805858020684,3189.2230832678106
IDN,medium,1,5467.723785944794,4957.86535474631,4605.275946840392,4250.791525870983
IDN,medium,2,6228.005520191346,5647.2517644542095,5245.6351384563595,4841.859999651028
IDN,medium,3,6559.379819455059,5947.72582314701,5524.740329125232,5099.481474024556
IDN,medium,4,7197.06494575416,6525.9476058641885,6061.8406086513005,5595.239240357567
IDN,medium,5,7560.627508507802,6855.608412577403,6368.056868098328,5877.884948403435
IDN,medium,6,7835.592243419938,7104.933028517699,6599.650220194065,6091.651738906366
IDN,medium,7,9597.315444314683,8702.377735732112,8083.489162996361,7461.27433625542
IDN,medium,8,10152.57088807403,9205.856301113512,8551.161752103646,7892.9485077074505
IDN,medium,9,7798.91822178725,7071.678813712682,6568.760951402994,6063.140126674345
