,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
IDN,high,0,0.22910185251025147,0.1123483423037116,0.1053265709097296,0.09830479951574765
IDN,high,1,0.32817083002250513,0.16093038245429195,0.15087223355089868,0.14081408464750544
IDN,high,2,0.383927050992057,0.18827245293697514,0.1765054246284142,0.1647383963198532
IDN,high,3,0.4285841465739783,0.21017166765634443,0.1970359384278229,0.18390020919930142
IDN,high,4,0.4755932280407933,0.23322426333878427,0.21864774688011024,0.2040712304214362
IDN,high,5,0.5340046629203961,0.2618684135645487,0.24550163771676436,0.22913486186898005
IDN,high,6,0.6271536920519937,0.3075473938760102,0.2883256817587596,0.2691039696415089
IDN,high,7,0.7438512488389342,0.3647742425996334,0.34197585243715634,0.3191774622746793
IDN,high,8,0.8748230870686344,0.42900099918126483,0.4021884367324357,0.37537587428360675
IDN,high,9,1.5054529050265835,0.7382530365548897,0.6921122217702091,0.6459714069855285
IDN,low,0,0.06157298595005891,0.05993364689918662,0.05465237731591472,0.04937097306036693
IDN,low,1,0.08819857929909454,0.0858503518573763,0.07828533828928476,0.07072013181348837
IDN,low,2,0.10318351710195661,0.10043632583972378,0.09158601653675165,0.08273548155105732
IDN,low,3,0.1151854746972713,0.11211873944233904,0.10223899210562806,0.09235899283554426
IDN,low,4,0.12781954762582542,0.12441643873554362,0.11345303524604299,0.10248935218995789
IDN,low,5,0.14351809575958016,0.1396970236570134,0.12738711628304022,0.11507689500665859
IDN,low,6,0.16855265483947612,0.1640650545559579,0.14960787020070407,0.1351503171875188
IDN,low,7,0.19991607222662694,0.19459344219591948,0.17744613879383936,0.1602983981358423
IDN,low,8,0.23511581883194901,0.22885601938675657,0.20868954534974335,0.1885225570680183
IDN,low,9,0.40460271077698695,0.3938304376180488,0.3591266473638453,0.32442197216363755
IDN,medium,0,0.0952576157032649,0.08637496171349632,0.0802322179257276,0.0740564595905504
IDN,medium,1,0.13644922757622158,0.1237255070969442,0.11492649781194754,0.10608019772023254
IDN,medium,2,0.15963195007274192,0.1447464696023381,0.13445250872163203,0.12410322232658594
IDN,medium,3,0.17819979840201844,0.1615828892072464,0.1500915696257705,0.13853848925331638
IDN,medium,4,0.19774557233559653,0.17930604407218173,0.16655430367793192,0.15373402828493685
IDN,medium,5,0.22203229876522465,0.20132806351931962,0.18701017918162313,0.1726153425099879
IDN,medium,6,0.2607624719302493,0.23644669628782194,0.21963127378635527,0.20272547578127822
IDN,medium,7,0.30928382126077414,0.2804434902425085,0.26049913978106964,0.24044759720376335
IDN,medium,8,0.3637402339756242,0.3298219103149975,0.3063659058147849,0.28278383560202736
IDN,medium,9,0.6259480345317991,0.567579160135008,0.5272145302605437,0.4866329582454564
