region,group,capacity
IDN,0,654.167
IDN,1,504.435
IDN,2,442.525
IDN,3,424.293
IDN,4,370.959
IDN,5,347.632
IDN,6,325.407
IDN,7,314.959
IDN,8,312.127
IDN,9,311.181
