,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
SGP,high,1959.8299999999995,883.9999999999999,697.9999999999998,509.99999999999994
SGP,low,576.6699999999997,359.99999999999994,268.0,174.99999999999997
SGP,medium,856.51,621.9999999999999,481.99999999999983,341.99999999999994
