,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
SGP,high,0.15127698502725467,0.06823492586810757,0.053877803456944824,0.03936630338544665
SGP,low,0.04451248269271683,0.027787978860315345,0.020686606484901365,0.013508045279319966
SGP,medium,0.06611300492680185,0.04801145236421154,0.0372050161407555,0.026398579917299617
