,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
PHL,high,1959.83,884.0,697.9999999999999,510.0
PHL,low,576.67,359.99999999999994,267.99999999999994,174.99999999999994
PHL,medium,856.5099999999999,621.9999999999999,482.0,341.99999999999994
