region,group,capacity
PHL,0,18.5684
PHL,1,17.4846
PHL,2,17.0572
PHL,3,16.8236
PHL,4,16.7958
PHL,5,16.7848
PHL,6,16.7858
PHL,7,16.7848
PHL,8,16.7848
PHL,9,16.7856
