country_1,country_2,country_3,country_4,emissions,cost
BN,,,,4.480923935222426,0.2974314332413758
BN,,,,3.9596387227296383,0.29963975669675985
BN,,,,3.3695194602140583,0.30786804235248966
BN,,,,3.2996985630027,0.30920166610999705
BN,,,,2.6397632407053693,0.3271961347345522
BN,,,,2.2463718015957292,0.3414375127467126
BN,,,,1.9798202183558629,0.35210218951127586
BN,,,,1.3198967579203542,0.3831817023288561
BN,,,,1.123174629857545,0.3986343687679425
BN,,,,0.6599421136985757,0.4675472195696763
BN,,,,0.0002055674666782,0.7026218993549661
BN,TH,,,70.03909436929044,15.581319317785583
BN,TH,,,61.57417311648267,15.629217659647479
BN,TH,,,56.93428635448676,15.678869814022216
BN,TH,,,52.777863903704805,15.744764311420445
BN,TH,,,43.98155326611519,15.963607180614222
BN,TH,,,35.18524267418351,16.33702912808999
BN,TH,,,28.467144017178324,16.753346447625606
BN,TH,,,26.38893197468712,16.927298369550705
BN,TH,,,17.592621333509857,18.067781018152075
BN,TH,,,8.796310661245801,19.931237292166603
BN,TH,,,0.0,24.91463159107234
CO,,,,9.942287817892748,5.236673218447699
CO,,,,9.942287732645546,5.23667319914464
CO,,,,9.942286246092689,5.236673743504442
CO,,,,9.942280044530296,5.236674104799809
CO,,,,9.640694856220708,5.2369983151203545
CO,,,,7.712557198032761,5.265113420065196
CO,,,,5.784417897390359,5.335808177888817
CO,,,,5.166619351076194,5.381929491916276
CO,,,,3.856278597283223,5.525484039105389
CO,,,,1.928139299386934,6.148710201420037
CO,,,,0.0,7.94712168138961
CO,PE,,,16.708093251804595,9.045673110998134
CO,PE,,,16.708092587707455,9.045673342534528
CO,PE,,,16.708092275491367,9.045673121595264
CO,PE,,,16.708090672553265,9.045672881612896
CO,PE,,,15.6223476383854,9.048323549889508
CO,PE,,,12.497878308232064,9.09745780482213
CO,PE,,,9.373408739956346,9.226603541268299
CO,PE,,,8.713867350208798,9.264205915223396
CO,PE,,,6.248939159603712,9.479460788120642
CO,PE,,,3.1244695823641035,10.008394137871798
CO,PE,,,0.0,11.721988693179913
ID,,,,198.26828890678053,40.214326103612876
ID,,,,173.51073143766027,40.28843342774843
ID,,,,154.99995313829854,40.567020407654326
ID,,,,148.72359505995118,40.703655746266605
ID,,,,123.9363615146944,41.4781673579234
ID,,,,99.14909140768629,42.590476664162296
ID,,,,77.56074400126911,44.12163726537671
ID,,,,74.3618224308128,44.39393866031271
ID,,,,49.57454942806422,47.357213256597184
ID,,,,24.78727480269439,52.85455927983993
ID,,,,0.0,70.02773773732703
ID,BN,,,201.1227095506943,40.488763020437474
ID,BN,,,177.44129797911555,40.54987277618232
ID,BN,,,156.44136204583577,40.85138888618669
ID,BN,,,152.09258195409458,40.94371804080364
ID,BN,,,126.74382333187172,41.69113785415829
ID,BN,,,101.39506043238096,42.79636339468875
ID,BN,,,78.22068361144417,44.41083651195886
ID,BN,,,76.04629627648397,44.59355996651147
ID,BN,,,50.697531065448906,47.54584917444029
ID,BN,,,25.34876551748689,52.95191614987129
ID,BN,,,0.0,67.11999421022789
ID,BN,TH,,233.7840368892448,54.95703489584341
ID,BN,TH,,232.8311626575676,54.952098515132484
ID,BN,TH,,212.05995689846557,55.0095651366225
ID,BN,TH,,201.50501629720375,55.11271625582134
ID,BN,TH,,167.9245353406092,55.76195384304636
ID,BN,TH,,134.33643565250733,56.95513840520876
ID,BN,TH,,106.02941663993472,58.373653147813684
ID,BN,TH,,100.75148080707864,58.706810706984186
ID,BN,TH,,67.1678483267543,61.61024217574662
ID,BN,TH,,33.58557487405815,67.70322163654158
ID,BN,TH,,0.0215804891821011,80.83861614249028
ID,MY,,,266.43393239222024,49.278239934044976
ID,MY,,,266.4324557750539,49.27837163803665
ID,MY,,,251.86882691902443,49.285845982052564
ID,MY,,,209.89100538945144,49.48978188200224
ID,MY,,,193.09039322018523,49.723638314291605
ID,MY,,,167.91284616161172,50.24994757563062
ID,MY,,,125.93464160218164,51.534308927700685
ID,MY,,,96.54520408656458,53.06633070357729
ID,MY,,,83.95642757110186,54.03490069577057
ID,MY,,,41.978214063167,59.77011119543467
ID,MY,,,0.0,75.82241122653191
ID,MY,PH,,281.4856724088774,112.83241742525604
ID,MY,PH,,281.48334468260725,56.41630094776569
ID,MY,PH,,247.5386531905077,56.50821496166779
ID,MY,PH,,230.2604179707329,56.6337915277705
ID,MY,PH,,198.0309685379096,57.06686053102412
ID,MY,PH,,148.5232252750583,58.30105177095475
ID,MY,PH,,115.13021144437091,59.654649648128206
ID,MY,PH,,99.01548463382784,60.55786070667095
ID,MY,PH,,49.50774262857809,65.95198731602785
ID,MY,PH,,0.0,81.6061897970458
ID,MY,PH,KR,444.2590590839281,78.6573670435338
ID,MY,PH,KR,440.2336886194484,78.65858673345791
ID,MY,PH,KR,393.08330766552336,78.85923187262112
ID,MY,PH,KR,327.5694229986059,79.60704376964598
ID,MY,PH,KR,293.4891256656409,80.14362350109216
ID,MY,PH,KR,262.0555383986118,80.75687459998443
ID,MY,PH,KR,196.54165379979176,82.56984580516729
ID,MY,PH,KR,146.74456283233027,84.77325452354404
ID,MY,PH,KR,131.02776919942906,85.72712004037835
ID,MY,PH,KR,65.51388459985311,92.61059018067432
ID,MY,PH,KR,1.8833790927038623e-10,109.21864748184476
ID,PH,,,217.498445037124,47.27615962808995
ID,PH,,,217.49812861255347,47.27621001356849
ID,PH,,,192.3332541351956,47.383703735182735
ID,PH,,,188.2536567423195,47.41877602174134
ID,PH,,,156.87805247359813,47.89721433990827
ID,PH,,,125.5024474611428,48.761632480402525
ID,PH,,,96.14574867687652,50.0657341499152
ID,PH,,,94.1268356459672,50.184290591731575
ID,PH,,,62.75122424081981,52.80244997724162
ID,PH,,,31.375612331262182,57.784631177959824
ID,PH,,,0.0,70.8961002044708
KE,,,,3.293116003177678,2.200875886530202
KE,,,,3.2931153370421926,2.200875702425661
KE,,,,3.293115066447875,2.2008758385743015
KE,,,,3.2425264886879033,2.201006079227626
KE,,,,2.594021207035631,2.229996466087129
KE,,,,2.522665091719639,2.23612690759427
KE,,,,1.9455159051256312,2.309757392767818
KE,,,,1.2970106032305049,2.4229956882573185
KE,,,,1.2613325458970803,2.429229526531865
KE,,,,0.6485053015299888,2.5901670382334414
KE,,,,0.0,3.724365193723998
KH,,,,8.966666652725886,1.989696206008357
KH,,,,7.69189884907589,2.001561118993361
KH,,,,7.433333332749372,2.0064324531124766
KH,,,,6.4099157113451595,2.038858808354582
KH,,,,5.127932568572309,2.130691214792332
KH,,,,4.950382702055458,2.1478131864349974
KH,,,,3.845949428637147,2.2818653592474023
KH,,,,2.563966285086976,2.5532165385097927
KH,,,,2.475191350741173,2.5789227995733035
KH,,,,1.2819831424388348,2.9502231733102646
KH,,,,0.0,3.8068304421096033
KH,TH,,,73.46909884586992,17.267413741702626
KH,TH,,,65.49588570494763,17.31527084927578
KH,TH,,,60.564791365433734,17.376898419345157
KH,TH,,,56.13933054246571,17.455783062729868
KH,TH,,,46.782776072543534,17.711958516205364
KH,TH,,,37.42622092640901,18.139232604405127
KH,TH,,,30.282395896350643,18.677505558070784
KH,TH,,,28.069665711220175,18.904131609603887
KH,TH,,,18.713110474898414,20.192189390133073
KH,TH,,,9.356555231687905,22.145996729910067
KH,TH,,,0.0,27.462199144330906
KH,TH,LA,,75.02222013027159,17.607162733109174
KH,TH,LA,,67.26190691124768,17.65195155496976
KH,TH,LA,,61.8861232786413,17.71752971749097
KH,TH,LA,,57.653063008462446,17.791998573319503
KH,TH,LA,,48.04421933401579,18.050053173326923
KH,TH,LA,,38.43537545411687,18.483162610363806
KH,TH,LA,,30.94306169302939,19.029940389046057
KH,TH,LA,,28.826531605619333,19.24458273094617
KH,TH,LA,,19.21768773351189,20.548923556751536
KH,TH,LA,,9.608843860819922,22.531566659747487
KH,TH,LA,,0.0,27.974544144226186
KH,TH,VN,,145.25257080519643,30.899502105054328
KH,TH,VN,,138.7574224624893,30.912722545800584
KH,TH,VN,,131.0826857560144,30.953050124921685
KH,TH,VN,,118.93494808864816,31.05960728175462
KH,TH,VN,,99.1124563551242,31.396546635209376
KH,TH,VN,,79.28996558341619,32.11261081171835
KH,TH,VN,,65.54134372215879,33.024576013348266
KH,TH,VN,,59.467474360078725,33.52653731073862
KH,TH,VN,,39.64498290070311,35.64403819381013
