Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,EL_Demand,0,0,0
1,EL_to_HTH,0,0,0
2,HTH_Demand,0,0,0
3,BESS,0,0,0
4,EL_to_NH3,0,0,1
5,NH3_to_EL,0,0,1
6,NH3_Storage,0,0,1
7,NH3_to_HTH,0,0,0
8,RE_PV,1,1,0
9,RE_WIND,1,1,1
10,BESS,1,1,0
11,EL_to_NH3,1,1,1
12,NH3_to_EL,1,1,1
13,NH3_Storage,1,1,1
14,RE_PV,2,2,0
15,RE_WIND,2,2,1
16,BESS,2,2,0
17,EL_to_NH3,2,2,1
18,NH3_to_EL,2,2,1
19,NH3_Storage,2,2,1
20,RE_PV,3,3,0
21,RE_WIND,3,3,1
22,BESS,3,3,0
23,EL_to_NH3,3,3,1
24,NH3_to_EL,3,3,1
25,NH3_Storage,3,3,1
26,EL_Transport,0,1,0
27,NH3_Transport,0,1,0
28,EL_Transport,0,2,0
29,NH3_Transport,0,2,0
30,EL_Transport,0,3,0
31,NH3_Transport,0,3,0
32,EL_Transport,1,2,0
33,NH3_Transport,1,2,0
34,EL_Transport,1,3,0
35,NH3_Transport,1,3,0
36,EL_Transport,2,3,0
37,NH3_Transport,2,3,0
