Location,lat,lon,location_name
0,4.8928,114.92675,BRN
1,-6.16065,106.92865,IDN
2,11.53412,104.9155,KHM
3,17.97899,102.63012,LAO
4,3.15839,101.68596,MYS
5,14.59466,120.98968,PHL
6,1.28057,103.86515,SGP
7,13.78118,100.58329,THA
8,10.76226,106.62206,VNM
