Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,conversion_factor,lifespan,lifespan_units
0,0.5,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h
1,0.25,G$/(Gg),0.00E+00,G$/(Gg h),0.999987,262800,h
