,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
THA,high,0,0.3154233252724141,0.1546791845198827,0.14501173548739005,0.13534428645489732
THA,high,1,0.3657075827790255,0.17933788069776707,0.16812926315415666,0.15692064561054625
THA,high,2,0.4114971188680189,0.2017924283938585,0.18918040161924227,0.1765683748446262
THA,high,3,0.4720906968938883,0.23150667108053619,0.21703750413800277,0.20256833719546927
THA,high,4,0.5317557039170799,0.2607655555423934,0.24446770832099388,0.22816986109959428
THA,high,5,0.5806477098905632,0.28474151105230455,0.2669451666115354,0.24914882217076648
THA,high,6,0.6274852431695006,0.3077099819041413,0.28847810803513235,0.2692462341661236
THA,high,7,0.6890607708727398,0.33790575897070013,0.3167866490350314,0.2956675390993626
THA,high,8,0.7654950683464683,0.3753880687915602,0.35192631449208756,0.328464560192615
THA,high,9,1.0027796569385745,0.49174911035646146,0.4610147909591825,0.430280471561904
THA,low,0,0.08477258373303714,0.08251557110302393,0.07524441377555913,0.06797307103371798
THA,low,1,0.09828688685647077,0.09567006505830167,0.08723975202442369,0.07880922401772056
THA,low,2,0.11059319704722372,0.10764872807462307,0.09816287192082161,0.08867677387786507
THA,low,3,0.12687821389702733,0.12350016737976041,0.11261750444738723,0.10173456400731236
THA,low,4,0.14291366973859357,0.13910869006949053,0.12685062583274262,0.11459224901558518
THA,low,5,0.1560537939405171,0.15189896736363226,0.13851384168594125,0.1251283746877952
THA,low,6,0.16864176189852548,0.16415178919990744,0.14968696190849662,0.13522176576425968
THA,low,7,0.18519068570947275,0.18026010912207796,0.16437583908950248,0.14849116400833748
THA,low,8,0.20573302472980842,0.20025552227821067,0.18260928425653433,0.16496259625611776
THA,low,9,0.26950518754500635,0.2623297944478856,0.23921365792220378,0.21609693193547197
THA,medium,0,0.13114897838419298,0.1189194995388759,0.11046227996336949,0.10195960655057701
THA,medium,1,0.1520565285633191,0.13787744671100016,0.12807199137468753,0.11821383602658085
THA,medium,2,0.17109523114998143,0.1551408140003963,0.14410763664755,0.13301516081679754
THA,medium,3,0.1962892647487094,0.17798553535346368,0.1653277058168013,0.1526018460109685
THA,medium,4,0.22109721041860955,0.20048017099606757,0.18622258638443262,0.17188837352337782
THA,medium,5,0.24142588024364026,0.2189132176859308,0.20334472675610407,0.18769256203169285
THA,medium,6,0.2609003266380631,0.2365716962158754,0.21974738407189787,0.20283264864638956
THA,medium,7,0.28650264233482714,0.259786627869986,0.24131133522919762,0.22273674601250626
THA,medium,8,0.31828304417586273,0.2886035468322451,0.2680788761491809,0.24744389438417655
THA,medium,9,0.4169429367291222,0.3780635273181242,0.35117671500880576,0.32414539790320807
