,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
THA,high,0,8823.58867634534,4326.9644051125415,4056.529129792999,3786.0938544734777
THA,high,1,10166.505831577835,4985.512184575965,4673.917673039972,4362.323161503972
THA,high,2,11156.711366144804,5471.095121290025,5129.151676209396,4787.208231128791
THA,high,3,12390.568653915045,6076.161467988985,5696.401376239653,5316.641284490358
THA,high,4,13827.428693589423,6780.777523298447,6356.978928092273,5933.180332886148
THA,high,5,14757.21455423984,7236.731497467353,6784.435778875666,6332.140060283943
THA,high,6,16085.099719989075,7887.907799653471,7394.913562175141,6901.919324696779
THA,high,7,18514.310263401447,9079.158654540654,8511.711238631953,7944.263822723084
THA,high,8,19037.99898730343,9335.968275977035,8752.470258728417,8168.972241479883
THA,high,9,20793.975419117392,10197.074544115401,9559.75738510821,8922.440226100933
THA,low,0,2371.41121141043,2308.2739939349963,2104.872100929342,1901.4650211792086
THA,low,1,2732.331117667073,2659.5846521190533,2425.22575266813,2190.860877069656
THA,low,2,2998.4569075702384,2918.6250230986116,2661.4398465417053,2404.2481117675643
THA,low,3,3330.066087556439,3241.4053332486283,2955.777204822914,2670.141792885292
THA,low,4,3716.2339079633807,3617.291696967783,3298.540985115506,2979.7821451260547
THA,low,5,3966.121419160307,3860.526122414379,3520.3419313867885,3180.1490656686433
THA,low,6,4323.001356001102,4207.904372632243,3837.10969347846,3466.3055590672757
THA,low,7,4975.871444219035,4843.392236904939,4416.599251261206,3989.795382404296
THA,low,8,5116.61704747678,4980.390583795264,4541.525494419766,4102.649213992668
THA,low,9,5588.549993369857,5439.758634618561,4960.414671691065,4481.0584855014895
THA,medium,0,3668.735150089523,3326.6301679549433,3090.0496081141278,2852.1975317688384
THA,medium,1,4227.102901780807,3832.930822430959,3560.3435872952473,3286.291315604475
THA,medium,2,4638.817679490057,4206.253710044385,3907.1168035313985,3606.372167651365
THA,medium,3,5151.839735240626,4671.437098233294,4339.217660494955,4005.212689327942
THA,medium,4,5749.267734966436,5213.1556812768995,4842.410745006471,4469.673217689097
THA,medium,5,6135.860786178116,5563.699412091356,5168.024793861133,4770.223598502958
THA,medium,6,6687.978429187334,6064.332772733326,5633.054521169689,5199.458338600928
THA,medium,7,7698.013057328728,6980.182930129456,6483.771997135213,5984.693073606407
THA,medium,8,7915.756120787103,7177.621724190648,6667.169500738767,6153.973820988995
THA,medium,9,8645.868628795999,7839.652150421976,7282.11818930707,6721.587728252288
