Demand,Units
3.168334217,GW
3.021165408,GW
2.97070753,GW
3.027472642,GW
3.180948686,GW
3.397497076,GW
3.635069582,GW
3.849515561,GW
4.007196428,GW
4.087088067,GW
4.093395302,GW
4.047142247,GW
3.981967489,GW
3.927304789,GW
3.912587908,GW
3.94202167,GW
4.009298839,GW
4.200618291,GW
4.867082755,GW
5.518830337,GW
5.584005096,GW
4.936462336,GW
4.013503663,GW
3.443750131,GW
3.22720174,GW
3.073725697,GW
3.019062996,GW
3.069520873,GW
3.216689682,GW
3.42903325,GW
3.660298521,GW
3.868437265,GW
4.017708486,GW
4.09129289,GW
4.09129289,GW
4.038732601,GW
3.965148197,GW
3.906280673,GW
3.883154146,GW
3.906280673,GW
3.965148197,GW
4.177491764,GW
4.858673109,GW
5.493601399,GW
5.527239984,GW
4.86077552,GW
3.9294072,GW
3.357551257,GW
3.138900455,GW
2.981219588,GW
2.920249653,GW
2.968605119,GW
3.111569105,GW
3.319707849,GW
3.548870708,GW
3.752804629,GW
3.899973438,GW
3.971455431,GW
3.971455431,GW
3.916792731,GW
3.843208326,GW
3.782238391,GW
3.761214276,GW
3.784340803,GW
3.845310738,GW
4.061859128,GW
4.745142884,GW
5.382173586,GW
5.415812171,GW
4.751450119,GW
3.824286622,GW
3.25453309,GW
3.035882288,GW
2.882406245,GW
2.827743544,GW
2.743647082,GW
2.895020714,GW
3.113671516,GW
3.344936787,GW
3.542563474,GW
3.666605756,GW
3.698141929,GW
3.649786463,GW
3.544665885,GW
3.424828427,GW
3.33442473,GW
3.302888556,GW
3.342834376,GW
3.441647719,GW
3.67291299,GW
4.38773292,GW
5.100450438,GW
5.220287896,GW
4.614793368,GW
3.708653987,GW
3.147310101,GW
2.928659299,GW
2.775183255,GW
2.720520555,GW
2.777285667,GW
2.932864122,GW
3.151514924,GW
3.386985019,GW
3.584611705,GW
3.710756398,GW
3.746497395,GW
3.696039517,GW
3.593021351,GW
3.473183892,GW
3.382780195,GW
3.351244022,GW
3.391189842,GW
3.487900773,GW
3.735985337,GW
4.463419736,GW
5.167727607,GW
5.270745774,GW
4.654739187,GW
3.746497395,GW
3.183051097,GW
2.962297884,GW
2.806719429,GW
2.749954317,GW
2.804617017,GW
3.088442577,GW
3.302888556,GW
3.536256239,GW
3.748599806,GW
3.899973438,GW
3.975660255,GW
3.979865078,GW
3.9294072,GW
3.860027619,GW
3.805364918,GW
3.786443214,GW
3.815876976,GW
3.878949323,GW
4.09129289,GW
4.772474235,GW
5.415812171,GW
5.459962814,GW
4.804010408,GW
3.878949323,GW
3.313400614,GW
3.098954635,GW
2.947581003,GW
2.895020714,GW
2.949683415,GW
3.101057047,GW
3.315503026,GW
3.553075532,GW
3.765419099,GW
3.920997554,GW
4.000889193,GW
4.005094016,GW
3.960943374,GW
3.893666204,GW
3.841105915,GW
3.828491446,GW
3.860027619,GW
3.927304789,GW
4.103907359,GW
4.755654942,GW
5.417914583,GW
5.502011045,GW
4.871287578,GW
3.950431316,GW
3.384882607,GW
3.168334217,GW
3.021165408,GW
2.97070753,GW
3.027472642,GW
3.178846274,GW
3.397497076,GW
3.635069582,GW
3.849515561,GW
4.005094016,GW
4.084985655,GW
4.093395302,GW
4.047142247,GW
3.979865078,GW
3.927304789,GW
3.912587908,GW
3.94202167,GW
4.009298839,GW
4.188003822,GW
4.841853816,GW
5.497806222,GW
5.575595449,GW
4.936462336,GW
4.013503663,GW
3.443750131,GW
3.225099329,GW
3.073725697,GW
3.016960584,GW
3.069520873,GW
3.216689682,GW
3.42903325,GW
3.660298521,GW
3.868437265,GW
4.017708486,GW
4.09129289,GW
4.09129289,GW
4.038732601,GW
3.965148197,GW
3.904178262,GW
3.883154146,GW
3.906280673,GW
3.965148197,GW
4.160672472,GW
4.829239347,GW
5.470474872,GW
5.518830337,GW
4.86077552,GW
3.931509612,GW
3.357551257,GW
3.138900455,GW
2.981219588,GW
2.922352064,GW
2.968605119,GW
3.111569105,GW
3.319707849,GW
3.548870708,GW
3.754907041,GW
3.90207585,GW
3.973557843,GW
