,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
VNM,high,0,2020.1036593500105,1339.8314021293456,1177.1805928763865,1014.7641120730875
VNM,high,1,2427.3858250278827,1609.9608247345118,1414.517255795214,1219.3552593172346
VNM,high,2,2696.1903267997036,1788.2450978390043,1571.1584466067532,1354.384548679807
VNM,high,3,2864.923789077274,1900.1573704123534,1669.4849637863117,1439.1448832465949
VNM,high,4,2894.3692025341215,1919.6870066369572,1686.6437710140726,1453.9362770954172
VNM,high,5,2935.241039424998,1946.795204909399,1710.4611295732427,1474.4675370045932
VNM,high,6,3063.7739179278055,2032.0444870565398,1785.3614493758334,1539.0338040479674
VNM,high,7,3604.079448646387,2390.4015017806673,2100.215185738157,1810.4469365316827
VNM,high,8,3906.8867612231597,2591.2380996000393,2276.6709285393204,1962.5569494284978
VNM,high,9,5018.040322424899,3328.209406488592,2924.176516629332,2520.7257105674635
VNM,low,0,1101.2246496986993,830.5387641408728,749.1326350100323,665.8785461583104
VNM,low,1,1323.2474939974675,997.9874121214659,900.1686279179635,800.1293085399778
VNM,low,2,1469.7816294754932,1108.5028095178493,999.8517425850608,888.7342422574978
VNM,low,3,1561.763764665985,1177.8753293798586,1062.4246420630477,944.3531665793258
VNM,low,4,1577.815423682192,1189.9814196734017,1073.3441412039037,954.05913835565
VNM,low,5,1600.0960002539148,1206.785332058168,1088.501000470376,967.5315555761559
VNM,low,6,1670.1634809245688,1259.6299163294038,1136.1659673210042,1009.8993251088446
VNM,low,7,1964.7017171373461,1481.7693524232423,1336.5321733136184,1187.99803782076
VNM,low,8,2129.7718981530693,1606.2645534476542,1448.8248464742992,1287.8111796523158
VNM,low,9,2735.498087268383,2063.1005683807184,1860.8835996726891,1654.076204947411
VNM,medium,0,1381.0000680066642,1116.526168887834,980.9838278436224,845.6367602992123
VNM,medium,1,1659.4296901189605,1341.6340211489662,1178.7643803671106,1016.1293830509984
VNM,medium,2,1843.192059691339,1490.2042487966862,1309.2987061024908,1128.653790884264
VNM,medium,3,1958.5430327990382,1583.464475977823,1391.2374704549743,1199.2874030438707
VNM,medium,4,1978.672751289908,1599.7391728363214,1405.536476484868,1211.6135645882518
VNM,medium,5,2006.6138964218883,1622.3293380725554,1425.3842752942514,1228.7229478500508
VNM,medium,6,2094.4826120362445,1693.3704065593327,1487.8012084912084,1282.5281704017177
VNM,medium,7,2463.850773520178,1992.0012522814113,1750.179322245441,1508.7057808683176
VNM,medium,8,2670.858427472789,2159.3650838633216,1897.22577464653,1635.4641249836234
VNM,medium,9,3430.474468207725,2773.5078398524747,2436.813764967366,2100.6047593966523
