,,,lcoe,lcoe,lcoe,lcoe
year,,,2021,2030,2040,2050
region,scenario,group,,,,
VNM,high,0,0.047338058709361974,0.03139691237183545,0.02758543788542571,0.02377945453004178
VNM,high,1,0.06633503044751933,0.04399663177847811,0.038655595770680264,0.03332225450900743
VNM,high,2,0.07782738432691805,0.051618922120228936,0.04535256693385957,0.03909523958632443
VNM,high,3,0.0854387035953567,0.056667120770968166,0.0497879320635266,0.04291865409448353
VNM,high,4,0.09260143906405423,0.06141779673835618,0.05396189271482067,0.046516730294320296
VNM,high,5,0.1044896954357207,0.0693026689475609,0.06088956923235745,0.05248859013688731
VNM,high,6,0.11955227107834962,0.07929290472062672,0.06966702559860397,0.06005501432843059
VNM,high,7,0.1419310447795726,0.09413560034531024,0.08270787029562338,0.07129660399592438
VNM,high,8,0.18549866612937457,0.12303177452447046,0.1080961507897486,0.0931820445719806
VNM,high,9,0.3556657564525522,0.23589489923031115,0.20725809000390283,0.17866253737574014
VNM,low,0,0.025805525809705694,0.01946241352285058,0.01755478462358985,0.015603851597143462
VNM,low,1,0.03616139712891269,0.02727276590590621,0.024599597116033194,0.021865746061749163
VNM,low,2,0.04242625552688575,0.03199769442325497,0.028861406803024462,0.025653923890016195
VNM,low,3,0.04657543488029939,0.035126987155056175,0.03168397862159357,0.028162812077686932
VNM,low,4,0.05048007651633357,0.03807185062109881,0.03434019820256014,0.0305238354134635
VNM,low,5,0.05696075432602116,0.04295954918498783,0.03874882385905203,0.03444251296868815
VNM,low,6,0.06517185750819733,0.04915232691750735,0.044334609978975204,0.03940752846375417
VNM,low,7,0.07737125980904178,0.05835306221976422,0.052633525548729215,0.04678415254341675
VNM,low,8,0.10112139675725232,0.07626531054669221,0.06879008604592951,0.061145170221743886
VNM,low,9,0.19388504953519528,0.14622724751971927,0.13189463029830437,0.11723665551950035
VNM,medium,0,0.03236163748051516,0.026164093653669583,0.02298786491499467,0.01981621211395395
VNM,medium,1,0.045348505328059924,0.03666385983007424,0.03221299649024288,0.027768545432000028
VNM,medium,2,0.05320500388720717,0.043015768450742814,0.03779380579543493,0.03257936633112072
VNM,medium,3,0.058408317280895204,0.04722260066137566,0.041489943405175096,0.035765545088817435
VNM,medium,4,0.06330496608582474,0.051181497302450626,0.04496824394950412,0.03876394192285985
VNM,medium,5,0.07143211480008335,0.057752224146084635,0.05074130771674817,0.04374049179306886
VNM,medium,6,0.08172931806019881,0.06607742062697138,0.05805585469195289,0.05004584528779818
VNM,medium,7,0.09702808149754164,0.07844633365249257,0.06892322527775337,0.05941383668001707
VNM,medium,8,0.12681214122561307,0.1025264788114315,0.09008012569916289,0.07765170383187184
VNM,medium,9,0.24314318306158691,0.1965790827706127,0.17271507508193518,0.14888544785508195
