region,group,capacity
VNM,0,22.9596
VNM,1,20.8976
VNM,2,20.8008
VNM,3,20.5902
VNM,4,20.5246
VNM,5,20.4976
VNM,6,20.4448
VNM,7,20.4376
VNM,8,20.4368
VNM,9,20.4376
