,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
KHM,high,2700.0454550000004,1465.36,1135.84,806.3200000000002
KHM,low,1205.997273,654.51,507.3299999999999,360.15
KHM,medium,1656.1818180000002,898.84,696.71,494.59
