,,,capex,capex,capex,capex
year,,,2021,2030,2040,2050
region,scenario,group,,,,
BRN,high,0,13178.267533492068,6462.437975076637,6058.535601634349,5654.6332281920595
BRN,high,1,13673.7513543235,6705.41630676093,6286.32778758836,5867.239268415806
BRN,high,2,14347.044598410012,7035.589891254408,6595.865523051005,6156.141154847603
BRN,high,3,14928.37485580194,7320.66611404948,6863.12448192138,6405.5828497932835
BRN,high,4,17039.592530209,8355.977716129673,7833.729108871562,7311.48050161346
BRN,high,5,17453.17368159778,8558.792124906702,8023.867617100028,7488.943109293364
BRN,high,6,18038.162495355708,8845.66245254396,8292.808549259966,7739.9546459759695
BRN,high,7,18683.407690483855,9162.081666346863,8589.451562200193,8016.821458053505
BRN,high,8,19311.370211888836,9470.02569881842,8878.149092642263,8286.27248646611
BRN,high,9,21175.281950483764,10384.06193090081,9735.0580602195,9086.054189538208
BRN,low,0,3541.766567118949,3447.4694309160473,3143.683220886436,2839.889264314143
BRN,low,1,3674.9318733103023,3577.0893010157106,3261.8811683639665,2946.6649979107133
BRN,low,2,3855.8849079722645,3753.224583679487,3422.495654964089,3091.75829266718
BRN,low,3,4012.1221421043588,3905.3021072638176,3561.172318744979,3217.033754922947
BRN,low,4,4579.52906081517,4457.602201037936,4064.8044966321413,3671.996775892219
BRN,low,5,4690.682358549989,4565.79611749867,4163.464515696975,3761.1226544469437
BRN,low,6,4847.902859457321,4718.830729046272,4303.013930181336,3887.186527995796
BRN,low,7,5021.317752871113,4887.628568367439,4456.93753873813,4026.235526495607
BRN,low,8,5190.08778717672,5051.905214808466,4606.738355641358,4161.560144727656
BRN,low,9,5691.029224511974,5539.509425635155,5051.375561779591,4563.229250519599
BRN,medium,0,5479.354839717099,4968.411827244632,4615.072383944891,4259.833896471216
BRN,medium,1,5685.37066575602,5155.216934165609,4788.592438261524,4419.997496866076
BRN,medium,2,5965.317372419711,5409.058959198232,5024.381934049431,4637.637439000768
BRN,medium,3,6207.027047171664,5628.229507908129,5227.965691172487,4825.550632384413
BRN,medium,4,7084.844313558062,6424.191407812912,5967.3210245567725,5507.99516383833
BRN,medium,5,7256.806058735757,6580.117934487473,6112.158496208002,5641.683981670413
BRN,medium,6,7500.036914362162,6800.667815850406,6317.023491734136,5830.779791993685
BRN,medium,7,7768.321601537021,7043.935290182679,6542.99046905804,6039.353289743408
BRN,medium,8,8029.42037435193,7280.686927716631,6762.904997528733,6242.340217091494
BRN,medium,9,8804.411000374628,7983.410643367376,7415.652983486539,6844.843875779405
