region,group,capacity
BRN,0,1.545
BRN,1,1.542
BRN,2,1.542
BRN,3,1.542
BRN,4,1.542
BRN,5,1.542
BRN,6,1.542
BRN,7,1.542
BRN,8,1.542
BRN,9,1.542
