,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
LAO,high,2700.045455,1465.36,1135.84,806.32
LAO,low,1205.9972730000002,654.51,507.33000000000004,360.15
LAO,medium,1656.1818180000002,898.84,696.71,494.59000000000003
