,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
LAO,high,0.21981925150426965,0.11929959837816871,0.0924723315921408,0.06564506480611171
LAO,low,0.09818405737434097,0.05328573192559881,0.041303342008240124,0.029320952090883562
LAO,medium,0.13483500691203906,0.07317741101588077,0.056721367572509465,0.04026613826080868
