Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,EL_Demand,0,0,0,96,1,
1,EL_to_HTH,0,0,0,96,1,
2,HTH_Demand,0,0,0,96,1,
3,BESS,0,0,0,96,1,
4,EL_to_H2,0,0,0,96,1,
5,H2_to_EL,0,0,0,96,1,
6,H2_Storage,0,0,0,96,1,
7,H2_to_HTH,0,0,0,96,1,
8,RE,1,1,0,96,1,
9,RE,1,1,0,96,1,
10,BESS,1,1,0,96,1,
11,EL_to_H2,1,1,0,96,1,
12,H2_to_EL,1,1,0,96,1,
13,H2_Storage,1,1,0,96,1,
14,RE,2,2,0,96,1,
15,RE,2,2,0,96,1,
16,BESS,2,2,0,96,1,
17,EL_to_H2,2,2,0,96,1,
18,H2_to_EL,2,2,0,96,1,
19,H2_Storage,2,2,0,96,1,
20,RE,3,3,0,96,1,
21,RE,3,3,0,96,1,
22,BESS,3,3,0,96,1,
23,EL_to_H2,3,3,0,96,1,
24,H2_to_EL,3,3,0,96,1,
25,H2_Storage,3,3,0,96,1,
26,EL_Transport,0,1,0,96,1,0
27,H2_Transport,0,1,0,96,48,48
28,EL_Transport,0,2,0,96,1,0
29,H2_Transport,0,2,0,96,48,48
30,EL_Transport,0,3,0,96,1,0
31,H2_Transport,0,3,0,96,48,48
32,EL_Transport,1,2,0,96,1,0
33,H2_Transport,1,2,0,96,48,48
34,EL_Transport,1,3,0,96,1,0
35,H2_Transport,1,3,0,96,48,48
36,EL_Transport,2,3,0,96,1,0
37,H2_Transport,2,3,0,96,48,48
