Type,profile_filename,set_size,set_number,location_name
0,SGP_2050_GW,24,0,SG
1,IDN_2050_GW,24,0,ID
2,MYS_2050_GW,24,0,MY
3,BRN_2050_GW,24,0,BN
4,KHM_2050_GW,24,0,KH
5,MMR_2050_GW,24,0,MM
6,PHL_2050_GW,24,0,PH
7,THA_2050_GW,24,0,TH
8,VNM_2050_GW,24,0,VN
9,LAO_2050_GW,24,0,LA
10,AUS_2050_GW,24,0,AU
11,SAU_2050_GW,24,0,SA
12,IND_2050_GW,24,0,IN
13,ARE_2050_GW,24,0,AE
14,MAR_2050_GW,24,0,MA
15,KEN_2050_GW,24,0,KE
16,ZAF_2050_GW,24,0,ZA
17,KOR_2050_GW,24,0,KR
18,EGY_2050_GW,24,0,EG
19,NGA_2050_GW,24,0,NG
20,BRA_2050_GW,24,0,BR
21,COL_2050_GW,24,0,CO
22,PER_2050_GW,24,0,PE
23,CHL_2050_GW,24,0,CL
