,,capex,capex,capex,capex
year,,2021,2030,2040,2050
region,scenario,,,,
THA,high,1959.83,883.9999999999999,698.0,510.0
THA,low,576.6699999999998,360.0,268.0,174.99999999999997
THA,medium,856.5100000000001,622.0,482.0,341.99999999999994
