,,lcoe,lcoe,lcoe,lcoe
year,,2021,2030,2040,2050
region,scenario,,,,
THA,high,0.1350763583967866,0.0609274788235507,0.04810789617515657,0.03515046855204848
THA,low,0.039745530784136854,0.02481209544850481,0.0184712266116647,0.012061435287467618
THA,medium,0.059032799646107935,0.04286978713602777,0.03322063890605367,0.023571490676079568
