Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,17,17,0,720,1,0
1,RE_PV_Rooftop_Lim,17,17,0,720,1,0
2,RE_PV_Openfield_Lim,17,17,0,720,1,0
3,RE_WIND_Onshore_Lim,17,17,0,720,1,0
4,RE_WIND_Offshore_Lim,17,17,0,720,1,0
5,PP_CO2,17,17,0,720,1,0
6,BESS,17,17,0,720,1,0
7,EL_to_HTH,17,17,0,720,1,0
8,EL_to_NH3,17,17,0,720,1,0
9,NH3_Storage,17,17,0,720,1,0
10,NH3_to_EL,17,17,0,720,1,0
11,NH3_to_HTH,17,17,0,720,1,0
12,FF_to_HTH,17,17,0,720,1,0
13,EL_Demand,17,17,0,720,1,0
14,HTH_Demand,17,17,0,720,1,0
15,RE_PV_Rooftop_Lim,1,1,0,720,1,0
16,RE_PV_Openfield_Lim,1,1,0,720,1,0
17,RE_WIND_Onshore_Lim,1,1,0,720,1,0
18,RE_WIND_Offshore_Lim,1,1,0,720,1,0
19,PP_CO2,1,1,0,720,1,0
20,BESS,1,1,0,720,1,0
21,EL_to_HTH,1,1,0,720,1,0
22,EL_to_NH3,1,1,0,720,1,0
23,NH3_Storage,1,1,0,720,1,0
24,NH3_to_EL,1,1,0,720,1,0
25,NH3_to_HTH,1,1,0,720,1,0
26,FF_to_HTH,1,1,0,720,1,0
27,EL_Demand,1,1,0,720,1,0
28,HTH_Demand,1,1,0,720,1,0
29,RE_PV_Rooftop_Lim,6,6,0,720,1,0
30,RE_PV_Openfield_Lim,6,6,0,720,1,0
31,RE_WIND_Onshore_Lim,6,6,0,720,1,0
32,RE_WIND_Offshore_Lim,6,6,0,720,1,0
33,PP_CO2,6,6,0,720,1,0
34,BESS,6,6,0,720,1,0
35,EL_to_HTH,6,6,0,720,1,0
36,EL_to_NH3,6,6,0,720,1,0
37,NH3_Storage,6,6,0,720,1,0
38,NH3_to_EL,6,6,0,720,1,0
39,NH3_to_HTH,6,6,0,720,1,0
40,FF_to_HTH,6,6,0,720,1,0
41,EL_Demand,6,6,0,720,1,0
42,HTH_Demand,6,6,0,720,1,0
43,RE_PV_Rooftop_Lim,2,2,0,720,1,0
44,RE_PV_Openfield_Lim,2,2,0,720,1,0
45,RE_WIND_Onshore_Lim,2,2,0,720,1,0
46,RE_WIND_Offshore_Lim,2,2,0,720,1,0
47,PP_CO2,2,2,0,720,1,0
48,BESS,2,2,0,720,1,0
49,EL_to_HTH,2,2,0,720,1,0
50,EL_to_NH3,2,2,0,720,1,0
51,NH3_Storage,2,2,0,720,1,0
52,NH3_to_EL,2,2,0,720,1,0
53,NH3_to_HTH,2,2,0,720,1,0
54,FF_to_HTH,2,2,0,720,1,0
55,EL_Demand,2,2,0,720,1,0
56,HTH_Demand,2,2,0,720,1,0
57,NH3_Transport,17,1,0,720,96,108
58,EL_Transport,17,1,0,720,1,0
59,NH3_Transport,17,6,0,720,96,108
60,EL_Transport,17,6,0,720,1,0
61,NH3_Transport,17,2,0,720,96,108
62,EL_Transport,17,2,0,720,1,0
63,NH3_Transport,1,6,0,720,96,108
64,EL_Transport,1,6,0,720,1,0
65,NH3_Transport,1,2,0,720,96,108
66,EL_Transport,1,2,0,720,1,0
67,NH3_Transport,6,2,0,720,96,108
68,EL_Transport,6,2,0,720,1,0
